region,phi,coarse,fine,delta_pp
EU27,0.30000,-0.84015,-0.83547,0.00468
EU27,0.50000,-0.42626,-0.41974,0.00652
EU27,0.70000,0.09885,0.10539,0.00655
CHN,0.30000,-3.61384,-3.62084,-0.00700
CHN,0.50000,-1.88336,-1.89325,-0.00989
CHN,0.70000,0.34272,0.33259,-0.01014
USA,0.30000,-0.83985,-0.83796,0.00189
USA,0.50000,-0.31901,-0.31575,0.00326
USA,0.70000,0.29340,0.29741,0.00401
GBR,0.30000,-0.52388,-0.50283,0.02105
GBR,0.50000,-0.26577,-0.23374,0.03203
GBR,0.70000,0.05850,0.09423,0.03574
CHE,0.30000,-0.25716,-0.26515,-0.00799
CHE,0.50000,-0.19357,-0.20464,-0.01107
CHE,0.70000,-0.08875,-0.09979,-0.01105
RUS,0.30000,-3.72302,-3.73085,-0.00784
RUS,0.50000,-1.49435,-1.50617,-0.01182
RUS,0.70000,1.15296,1.13997,-0.01299
IND,0.30000,-4.59663,-4.60216,-0.00553
IND,0.50000,-1.71203,-1.72100,-0.00897
IND,0.70000,1.66803,1.65762,-0.01041
TUR,0.30000,-2.34286,-2.35439,-0.01153
TUR,0.50000,-1.07498,-1.09296,-0.01798
TUR,0.70000,0.49954,0.47935,-0.02019
RASIA,0.30000,-2.32906,-2.32359,0.00546
RASIA,0.50000,-1.16288,-1.15524,0.00764
RASIA,0.70000,0.31414,0.32173,0.00759
LAM,0.30000,-2.12549,-2.12709,-0.00160
LAM,0.50000,-0.79141,-0.79344,-0.00203
LAM,0.70000,0.76842,0.76669,-0.00174
MEA,0.30000,-1.66575,-1.66889,-0.00315
MEA,0.50000,-0.59108,-0.59574,-0.00466
MEA,0.70000,0.65375,0.64875,-0.00500
AFR,0.30000,-2.89714,-2.90018,-0.00305
AFR,0.50000,-0.83960,-0.84432,-0.00472
AFR,0.70000,1.46684,1.46160,-0.00524
