region,industry,carbon_intensity_t_per_musd,cbam_rate_pct
KAZ,D,18829.8908,160.0540718
IND,D,9094.8743,78.21591897999998
IDN,D,7613.7002,63.955081680000006
AFR,D,5864.8748,49.85143579999999
MEA,D,5738.699,49.35281139999999
IDN,C24B,5526.1984,46.42006656
IDN,C24A,5519.087,46.3603308
RUS,D,4201.6118,36.13386147999999
CHN,D,4516.8655,34.3281778
ROW,D,3315.3828,27.849215519999998
KAZ,C24A,2819.2078,23.9632663
TUR,C23,2731.3774,23.48984564
USA,D,2292.193,19.025201900000003
IND,C23,2163.9227,18.609735219999997
CHL,D,2129.7128,17.25067368
TUR,D,1986.0403,17.079946579999998
AUS,D,2559.8348,16.89490968
JPN,D,1978.0332,16.61547888
KOR,D,2127.1547,16.59180666
RUS,C23,1538.847,13.234084199999998
KAZ,C23,1453.3032,12.353077200000001
SGP,D,2006.7836,12.24137996
LAM,C23,1372.7544,11.531136960000001
ROW,C23,1366.9272,11.48218848
IND,C24A,1327.8054,11.41912644
RUS,C24A,1271.2039,10.93235354
LAM,D,1286.933,10.8102372
JPN,C23,1191.3446,10.00729464
CHN,C23,1297.867,9.8637892
AFR,C23,1134.1784,9.640516400000001
KOR,C23,1173.3979,9.15250362
ROW,C24A,995.626,8.3632584
CHN,C24A,1082.8169,8.22940844
AFR,C24A,946.9852,8.049374199999999
IDN,C23,752.4661,6.320715239999999
CHL,C23,766.4575,6.208305749999999
RUS,C24B,710.0203,6.10617458
LAM,C24A,709.2958,5.95808472
KOR,C24A,734.1482,5.72635596
MEA,C23,608.1192,5.22982512
KAZ,C24B,582.2895,4.949460749999999
USA,C23,579.5672,4.8104077599999995
MEA,C24A,539.2237,4.63732382
TUR,C24A,515.3179,4.43173394
CHL,C24A,540.2894,4.37634414
AFR,C24B,502.7796,4.2736266
JPN,C24A,482.8436,4.0558862399999995
AUS,C23,532.4682,3.51429012
AUS,C24B,518.3198,3.42091068
TUR,C24B,348.4762,2.9968953199999997
CAN,D,1143.7744,2.97381344
MEA,C24B,331.2195,2.8484876999999997
GBR,C24A,670.636,2.4142896
USA,C24A,287.128,2.3831624
ROW,C24B,262.1991,2.2024724399999998
RUS,C20,1592.4288,2.0542331519999997
CAN,C24A,681.7616,1.77258016
GBR,C23,480.1388,1.72849968
LAM,C24B,203.9215,1.7129406
MEA,C20,961.0422,1.239744438
KAZ,C20,804.894,1.0262398499999998
AUS,C24A,142.0753,0.9376969800000001
ROW,C20,658.5593,0.829784718
GBR,D,211.4163,0.76109868
SGP,C24A,123.4027,0.7527564699999999
CHN,C24B,91.471,0.6951796
AUS,C20,652.9961,0.646466139
USA,C24B,76.5029,0.63497407
GBR,C24B,157.3962,0.5666263199999999
KOR,C24B,69.8531,0.54485418
AFR,C20,348.4253,0.44424225749999996
CHN,C20,385.53,0.4395041999999999
SGP,C24B,61.4069,0.37458209
IND,C20,290.1106,0.374242674
JPN,C20,252.9526,0.31872027599999997
CAN,C23,118.4974,0.30809324
USA,C20,229.6249,0.2858830005
JPN,C24B,31.4361,0.26406324
TUR,C20,172.1284,0.222045636
CAN,C24B,82.0759,0.21339734000000002
CHL,C24B,26.1648,0.21193487999999994
LAM,C20,168.0605,0.21175622999999996
IDN,C20,158.2281,0.19936740600000002
IND,C24B,22.7916,0.19600776
NOR,C24A,1890.1927,0.18901927
SGP,C20,187.4796,0.171543834
CAN,C20,413.4387,0.16124109299999997
SGP,C23,22.8539,0.13940878999999998
KOR,C20,104.528,0.12229775999999999
GBR,C20,150.0349,0.08101884599999998
CHL,C20,50.2797,0.0610898355
NOR,C23,413.3825,0.04133824999999999
NOR,C20,493.3104,0.007399656
NOR,C24B,55.1422,0.00551422
NOR,D,27.3511,0.00273511
