region,2025,2030,2035,2040,2045
USA,0.00036624531544876614,-0.3983951705756068,-0.3465312038848958,-0.429609162454463,-0.5039781257566822
CHN,-0.0020032076559107523,-3.646275804408767,-3.586579112135126,-3.4825559400724817,-3.3293261088295165
GBR,0.0009608013374120174,0.0492686743879399,0.07604764290845849,0.009154715264366987,-0.06336501026021901
JPN,-0.0005856804615688032,-0.27872591891063303,-0.275185558164458,-0.2511846224387429,-0.21357267794765722
IND,-0.0035298909474949136,-3.784750429725322,-3.6985027394500074,-3.7033371139009335,-3.6539021524400495
CAN,0.0005551663045205685,-0.15872212248650797,-0.12946619129466996,-0.16850259091512398,-0.202720901460758
NOR,0.00010871173277969136,0.7151536032707675,0.6917437454338594,0.6548639702385696,0.5995211734973178
IDN,-0.002958746097348154,-2.1103851408107945,-2.070317714395868,-2.104685801401476,-2.1115621928578587
CHL,-0.0008576937239661462,-0.8617272487948265,-0.7524753159538301,-0.6614244669026019,-0.570217503681141
AUS,0.00010600718852041957,-0.05433095158962939,-0.050164813888577624,-0.04381619958427915,-0.02992346106560241
SGP,-0.0007560638836896174,-0.8196419241272846,-0.8175477877098266,-0.7717820335853846,-0.721956269240833
TUR,-0.0017371810671018353,-2.9238112865617496,-2.85985200533982,-2.9026014233053146,-2.9932257633841957
KOR,-0.0007346128949390924,-1.1092330998787663,-1.1194215624484796,-1.032848631454149,-0.9452634066473469
KAZ,-0.0011391323703101302,-1.5740454403925899,-1.652847310226102,-1.5481886665030316,-1.4785716095562016
