region,2025,2030,2035,2040,2045
USA,0.0003655195279898065,-0.2878385538007734,-0.2782633036558366,-0.3748671209956521,-0.4563206031379119
CHN,-0.0019992379041268407,-2.6318350473695964,-3.0257107980548845,-3.1256191372025426,-3.0804533130801954
GBR,0.000958897319717236,0.04320369536699153,0.07378433244433605,0.01654559149260901,-0.0503265285234855
JPN,-0.0005845198200096246,-0.20897866714410196,-0.23408818345343085,-0.22774425661323955,-0.19980976019184607
IND,-0.0035228957711114345,-2.732984893796823,-3.121719353723871,-3.3214885873456206,-3.381070267444377
CAN,0.0005540661327928723,-0.1132969647607711,-0.10132249997420642,-0.14482122514776385,-0.1814346779920668
NOR,0.00010849629900084146,0.5315188144057809,0.582778245269197,0.5880535327603655,0.5557049805613301
IDN,-0.0029528827573377294,-1.5189809945366013,-1.7433769243549517,-1.8871549616355057,-1.9523020137241893
CHL,-0.000855994034380437,-0.644441214775872,-0.631674915104666,-0.5930512149555764,-0.5302245291221379
AUS,0.00010579711433041017,-0.039971071075513065,-0.04084000754465962,-0.038426514390996425,-0.026637921722396984
SGP,-0.0007545655937134524,-0.6098280103967064,-0.6865594394254726,-0.6972379985925754,-0.6685282072107065
TUR,-0.0017337384995678323,-2.241604881861774,-2.4775384672343,-2.654736863758373,-2.803385420382058
KOR,-0.0007331571143356366,-0.8135294409923155,-0.9432977481706423,-0.9336471992275427,-0.8764690074085448
KAZ,-0.0011368749544372388,-1.1339120206934457,-1.3796471024149013,-1.3867476700889227,-1.3796283624168904
