region,2025,2030,2035,2040,2045
USA,0.0003653068961077158,-0.2154814276946036,-0.22617518582960505,-0.3122772260553431,-0.3919620814256976
CHN,-0.0019980748972674277,-1.9896079435995668,-2.575206811334285,-2.7910898299314066,-2.82631167450144
GBR,0.0009583395050829689,0.038052804111810626,0.07161535455474406,0.03061129850537251,-0.02617432762840258
JPN,-0.0005841797901618856,-0.16219570817790943,-0.20196080027812438,-0.2065265304339106,-0.18814437003738113
IND,-0.0035208464142348263,-2.0663957672091615,-2.65487611532556,-2.955553885824929,-3.0887996456131783
CAN,0.0005537438186192182,-0.08375688719926674,-0.07983112106906146,-0.11685077921870073,-0.15161822739838526
NOR,0.00010843318398101415,0.409244893802971,0.4982544915403672,0.524872655617485,0.5119310860131043
IDN,-0.002951164991335625,-1.1456027229650283,-1.4803916827087473,-1.6765288183144649,-1.7793626340078827
CHL,-0.0008554960811695928,-0.5131048210460938,-0.5369972071834594,-0.5162348461984785,-0.4732322222669673
AUS,0.0001057355694940412,-0.02995373694636841,-0.033694449394339694,-0.03294809589708872,-0.02330011712769435
SGP,-0.000754126643971876,-0.47247031613401635,-0.5897626103365745,-0.6270449662685045,-0.6187619985675783
TUR,-0.00173272994037472,-1.7875766137229951,-2.1766799220218935,-2.4159495056126468,-2.6179074974772862
KOR,-0.0007327306184437569,-0.6242051176459489,-0.8097966923159512,-0.8441674531911733,-0.8161495673838767
KAZ,-0.0011362136057465322,-0.8428223789578122,-1.1768219526594006,-1.2554603164819982,-1.301224239894661
