region,2025,2030,2035,2040,2045
USA,0.00036556549121566096,-0.21171901140158517,-0.13588113953850012,-0.15339595227826575,-0.14978798143454564
CHN,-0.001999489303617942,-3.2751962004972843,-4.446086116449684,-5.659964059151237,-6.783050080765086
GBR,0.0009590178988127493,0.18224121132652532,0.3351686843427631,0.42416974529424034,0.5082237576672922
JPN,-0.0005845933220100547,-0.30388438098705195,-0.41838322841009923,-0.5242252691474144,-0.6072820257268436
IND,-0.0035233387670161407,-3.3024308858320444,-4.371188214401013,-5.544997308426072,-6.631682635269522
CAN,0.0005541358053133527,-0.0640967202428645,-0.011630767655865994,-0.008707434267652588,0.006001748559266741
NOR,0.00010850994215671545,0.7287953201022316,0.9553910308390214,1.172248420350965,1.3567788370318454
IDN,-0.0029532540754389634,-1.7627234857737721,-2.3191993908141972,-2.963701625065758,-3.557944597469599
CHL,-0.0008561016736284648,-0.6255126752910691,-0.6769843374944883,-0.8177530931527859,-0.9878293302249133
AUS,0.00010581041807012406,-0.05842895994975464,-0.07982901680218485,-0.10442042404924567,-0.11426247205872525
SGP,-0.0007546604785722631,-0.7325165201458652,-0.9632429197727448,-1.203496951744998,-1.4217227186663015
TUR,-0.0017339565131296972,-2.6312312718262376,-3.1302686031009,-3.6466584722915565,-4.271685995006443
KOR,-0.0007332493071282307,-1.0116793671961561,-1.3992780040125377,-1.775111803331524,-2.1313243424755144
KAZ,-0.0011370179138041063,-2.0835232820336125,-2.9838729000340476,-3.5574185356047057,-4.227279276106595
