scenario,region,2025,2030,2035,2040,2045
Below 2?C,USA,0.0,-0.17537115072855028,-0.18702206161787696,-0.19897776362096317,-0.200293827546549
Below 2?C,CHN,0.0,-0.028046963232242466,-0.06114401138665382,-0.040978799969193944,-0.09634895546817186
Below 2?C,GBR,0.0,-0.10098086115958044,-0.10768959865722523,-0.11457383861929113,-0.1153316443814967
Below 2?C,JPN,0.0,0.008230415016141288,0.008777208667986886,0.009338306595929515,0.009400071328899244
Below 2?C,IND,0.0,-0.17884627612051404,-0.21659149061598112,-0.20752218462584804,-0.2635167433079441
Below 2?C,CAN,0.0,-0.08452003112729774,-0.09013518132125124,-0.09589722542743184,-0.09653150172369787
Below 2?C,NOR,0.0,0.03133888794607659,0.033420909928104196,0.03555739819219349,0.035792579290809014
Below 2?C,IDN,0.0,-0.11361830780481624,-0.1493529664097196,-0.13548414672296974,-0.1912086209447021
Below 2?C,CHL,0.0,-0.01963715069483222,-0.0016987455576968936,-0.10129212929753002,-0.10249382252314936
Below 2?C,AUS,0.0,-0.0018993265421865177,-0.0020255096926124518,-0.0021549938298300216,-0.0021692472297461796
Below 2?C,SGP,0.0,0.027816593790607608,-0.003558542635746613,0.020717143383271186,-0.034421702157078245
Below 2?C,TUR,0.0,-0.19190372506366088,-0.21482289066061278,-0.24748122795493324,-0.2278999626137786
Below 2?C,KOR,0.0,0.08626343668734666,0.05668983796491339,0.08526607833585004,0.030369239168400765
Below 2?C,KAZ,0.0,-0.0036952097766253245,-0.040050612792152676,-0.05124297574214806,-0.031061931751447114
Current Policies,USA,0.0,-0.00043136338749677044,-0.0035696401241558377,-0.006705010665226481,-0.009824304301997006
Current Policies,CHN,0.0,0.014130325941594546,0.012322335615353003,0.010455618797416504,0.008766692991646641
Current Policies,GBR,0.0,-0.0002483843332336999,-0.0020554425985662675,-0.003860827440807306,-0.005656955004218494
Current Policies,JPN,0.0,2.024449110995678e-05,0.0001675282368737394,0.00031467559078680245,0.0004610684329457059
Current Policies,IND,0.0,0.00019665576861541457,-0.0033294978553761014,-0.00687804167792931,-0.010410742312748302
Current Policies,CAN,0.0,-0.00020789535101378644,-0.0017203861248187876,-0.0032314762592337005,-0.004734818138327077
Current Policies,NOR,0.0,7.708479307252765e-05,0.0006378959788653928,0.0011981878264574395,0.001755606725447115
Current Policies,IDN,0.0,0.006223639440867629,0.003440674224039915,0.0006196016111924341,-0.0021155775772284313
Current Policies,CHL,0.0,0.07281273750067141,0.06691914630588786,0.060997104170786194,0.05506173659523357
