shock,region,gva_pct
"CBAM (EU, applied prices)",EU27,-0.011102103274465699
"CBAM (EU, applied prices)",CHN,-0.0003206891650666371
"CBAM (EU, applied prices)",USA,-0.00019504122269649036
"CBAM (EU, applied prices)",GBR,-0.0009429513539198769
"CBAM (EU, applied prices)",CHE,-0.0025558196193299423
"CBAM (EU, applied prices)",RUS,-0.0005725546250297681
"CBAM (EU, applied prices)",IND,-0.0003110900549941977
"CBAM (EU, applied prices)",TUR,-0.0016791054584310813
"CBAM (EU, applied prices)",RASIA,-0.0005492372493925053
"CBAM (EU, applied prices)",LAM,-0.0004814380471730909
"CBAM (EU, applied prices)",MEA,-0.0005787304348155415
"CBAM (EU, applied prices)",AFR,-0.0006228782946046845
"CBAM (EU, applied prices)",ROW,-0.00044255784254954597
"US applied tariffs, May 2026",EU27,-0.0028373451996112405
"US applied tariffs, May 2026",CHN,-0.0017208959885842972
"US applied tariffs, May 2026",USA,-0.05579722275551017
"US applied tariffs, May 2026",GBR,-0.0031449757410870476
"US applied tariffs, May 2026",CHE,-0.002645355739298827
"US applied tariffs, May 2026",RUS,-0.0008336203413268308
"US applied tariffs, May 2026",IND,-0.0020355793198745297
"US applied tariffs, May 2026",TUR,-0.0021913591164078434
"US applied tariffs, May 2026",RASIA,-0.005345709215635199
"US applied tariffs, May 2026",LAM,-0.010029134630962453
"US applied tariffs, May 2026",MEA,-0.002314017461608732
"US applied tariffs, May 2026",AFR,-0.0014650460726883317
"US applied tariffs, May 2026",ROW,-0.004034595542317453
"EU-US framework, Jul 2026",EU27,-0.0002749243316306013
"EU-US framework, Jul 2026",CHN,-0.0006094900303319961
"EU-US framework, Jul 2026",USA,-0.023332675415056594
"EU-US framework, Jul 2026",GBR,-0.0013470456052180402
"EU-US framework, Jul 2026",CHE,-0.0008835878558450519
"EU-US framework, Jul 2026",RUS,-0.00031715855954657796
"EU-US framework, Jul 2026",IND,-0.0008111197956408296
"EU-US framework, Jul 2026",TUR,-0.0007403300272610335
"EU-US framework, Jul 2026",RASIA,-0.002009805554711587
"EU-US framework, Jul 2026",LAM,-0.0033967049040692578
"EU-US framework, Jul 2026",MEA,-0.0008884825680435994
"EU-US framework, Jul 2026",AFR,-0.0005249050093076993
"EU-US framework, Jul 2026",ROW,-0.0015104466201648708
EU steel safeguard 2026/1384,EU27,-0.012712136642624399
EU steel safeguard 2026/1384,CHN,-0.00033011358329917094
EU steel safeguard 2026/1384,USA,-0.0002155927727912949
EU steel safeguard 2026/1384,GBR,-0.0010547330817037997
EU steel safeguard 2026/1384,CHE,-0.003131232582975661
EU steel safeguard 2026/1384,RUS,-0.0007521887394182378
EU steel safeguard 2026/1384,IND,-0.00034449261546706176
EU steel safeguard 2026/1384,TUR,-0.002440809713589227
EU steel safeguard 2026/1384,RASIA,-0.0006086261322839698
EU steel safeguard 2026/1384,LAM,-0.0006085788744144983
EU steel safeguard 2026/1384,MEA,-0.0006640349555817962
EU steel safeguard 2026/1384,AFR,-0.0006580573205354274
EU steel safeguard 2026/1384,ROW,-0.0005034253890384428
USA 25% on CHN manufactures,EU27,-0.0008915750183731672
USA 25% on CHN manufactures,CHN,-0.0006003408059835094
USA 25% on CHN manufactures,USA,-0.017321752101312447
USA 25% on CHN manufactures,GBR,-0.0010433919733374402
USA 25% on CHN manufactures,CHE,-0.0009738404696312594
USA 25% on CHN manufactures,RUS,-0.0003151930019493924
USA 25% on CHN manufactures,IND,-0.0006184168601374435
USA 25% on CHN manufactures,TUR,-0.0006158765002750242
USA 25% on CHN manufactures,RASIA,-0.0018348509912714027
USA 25% on CHN manufactures,LAM,-0.002792842292727083
USA 25% on CHN manufactures,MEA,-0.0007874225898509806
USA 25% on CHN manufactures,AFR,-0.0004294066657739391
USA 25% on CHN manufactures,ROW,-0.0012848313239868564
Global 10% on all imports,EU27,-0.3390774644127906
Global 10% on all imports,CHN,-0.37937506873735727
Global 10% on all imports,USA,-0.11980502694419119
Global 10% on all imports,GBR,-0.34376239163051847
Global 10% on all imports,CHE,-0.56692545452863
Global 10% on all imports,RUS,-0.16777447221825398
Global 10% on all imports,IND,-0.4091729805306924
Global 10% on all imports,TUR,-0.44896895483938426
Global 10% on all imports,RASIA,-0.666708499440054
Global 10% on all imports,LAM,-0.2920340766704137
Global 10% on all imports,MEA,-0.2705012452530281
Global 10% on all imports,AFR,-0.2170096466323343
Global 10% on all imports,ROW,-0.2555175695578701
