region,carbon charge,"US applied tariffs, May 2026","EU-US framework, Jul 2026",EU steel safeguard 2026/1384,"CBAM (EU, applied prices)",ALL FOUR COMBINED,sum of four,residual,carbon + tariffs
EU27,-0.013543,-0.002837,0.000090,-0.012712,-0.011102,-0.026562,-0.026562,-0.000000,-0.040105
CHN,-0.132954,-0.001721,-0.000416,-0.000330,-0.000321,-0.002788,-0.002788,0.000000,-0.135742
USA,-0.008941,-0.055797,-0.016479,-0.000216,-0.000195,-0.072687,-0.072687,0.000000,-0.081628
GBR,-0.009156,-0.003145,-0.000910,-0.001055,-0.000943,-0.006052,-0.006052,0.000000,-0.015209
CHE,-0.007249,-0.002645,-0.000522,-0.003131,-0.002556,-0.008854,-0.008854,0.000000,-0.016103
RUS,-0.096426,-0.000834,-0.000199,-0.000752,-0.000573,-0.002358,-0.002358,-0.000000,-0.098784
IND,-0.118120,-0.002036,-0.000562,-0.000344,-0.000311,-0.003253,-0.003253,-0.000000,-0.121373
TUR,-0.052781,-0.002191,-0.000477,-0.002441,-0.001679,-0.006788,-0.006788,0.000000,-0.059569
RASIA,-0.079422,-0.005346,-0.001394,-0.000609,-0.000549,-0.007897,-0.007897,-0.000000,-0.087319
LAM,-0.134589,-0.010029,-0.002380,-0.000609,-0.000481,-0.013500,-0.013500,0.000000,-0.148088
MEA,-0.028063,-0.002314,-0.000603,-0.000664,-0.000579,-0.004160,-0.004160,0.000000,-0.032223
AFR,-0.038681,-0.001465,-0.000350,-0.000658,-0.000623,-0.003096,-0.003096,-0.000000,-0.041777
ROW,-0.050910,-0.004035,-0.001050,-0.000503,-0.000443,-0.006030,-0.006030,-0.000000,-0.056940
