scenario,region,2025,2030,2035,2040,2045
Below 2?C,EU27,-0.4608331967888242,-0.7906410059153837,-0.8628175070109814,-0.9298292817008555,-0.9850563574527488
Below 2?C,CHN,-0.2068600311539282,-0.6421831185303077,-0.6388264835663386,-0.6818083505515359,-0.7039538324180815
Below 2?C,USA,-0.8495569372449293,-1.3659028620060445,-1.5032606451180823,-1.6233926298829642,-1.7151784815592819
Below 2?C,GBR,-0.2568642322774437,-0.4095832975452735,-0.4508467718758101,-0.48833627840682164,-0.5160601858442988
Below 2?C,CHE,-1.0122949424982566,-1.475408581523193,-1.6442348361552757,-1.7921211556317647,-1.8919852968912958
Below 2?C,RUS,-1.1826459868660926,-3.3454232881308705,-3.406508637012709,-3.589898639942779,-3.934264713100609
Below 2?C,IND,-1.3112742371219488,-3.4391722494075525,-3.4896171266050735,-3.7453452020392177,-3.888104039921176
Below 2?C,TUR,-1.4426242535819411,-3.3582138611860852,-3.6570198409947046,-4.002373439298232,-4.476578931866626
Below 2?C,RASIA,-1.540583281838354,-3.6710550382244134,-3.7738073990685934,-4.054628909579642,-4.222020709570846
Below 2?C,LAM,-1.4661410115449116,-3.010571358113897,-3.204479162187432,-3.2123005412060186,-3.373974263300341
Below 2?C,MEA,-1.7163381893961969,-2.9987692000388413,-3.3361386312562984,-3.672545188929836,-4.024167750087893
Below 2?C,AFR,-1.8742429126447822,-3.607032430534027,-3.9996672562975357,-4.405781945503978,-4.888011490256752
Below 2?C,ROW,-1.3279276890608558,-2.9005184307963185,-3.0654208793631295,-3.282542083709356,-3.487664125756758
Current Policies,EU27,-0.46082169652793253,-0.5316468659064144,-0.6211517341767706,-0.7150844309123692,-0.8034996254527921
Current Policies,CHN,-0.20685486888622934,-0.264014475511987,-0.30678482367540133,-0.35113720701199413,-0.3926950706910991
Current Policies,USA,-0.8495357362409894,-0.9763292034467596,-1.140330966420596,-1.3124936683110173,-1.4743649197655864
Current Policies,GBR,-0.25685782213662584,-0.29595883911384097,-0.3455235956208347,-0.39756529563693843,-0.4464956087659123
Current Policies,CHE,-1.0122696803079039,-1.1641199519336722,-1.3578512369895335,-1.5614542280536652,-1.7528122464053775
Current Policies,RUS,-1.1826164735031528,-1.5294980962515499,-1.7581466179550413,-2.000133541829242,-2.2387774039809463
Current Policies,IND,-1.3112415137940017,-1.6246011402000229,-1.8902557815522987,-2.1668517277964674,-2.4262818871813914
Current Policies,TUR,-1.4425882523663156,-1.7016365844478476,-1.9951768468957465,-2.304502187887559,-2.5993134719473776
Current Policies,RASIA,-1.5405448360193674,-1.883738269119763,-2.1917995927858853,-2.5131143304629555,-2.8147065681167542
Current Policies,LAM,-1.4661044234599943,-1.9959658830079254,-2.2483406233879704,-2.509687475739278,-2.758486094158447
Current Policies,MEA,-1.7162953575492423,-1.986751476046566,-2.3238884582566146,-2.6789788052803463,-3.01465585251405
Current Policies,AFR,-1.8741961402277338,-2.1746084465345907,-2.5479898133482597,-2.9415213387334127,-3.314582573748422
Current Policies,ROW,-1.3278945501399277,-1.592662768236387,-1.8558131123081596,-2.1311165708670035,-2.3908141315485785
Delayed transition,EU27,-0.4600623528948249,-0.5323189857789076,-0.8803010039628566,-1.0167207965425757,-1.0330206895438379
Delayed transition,CHN,-0.2065140126964069,-0.2643161784681366,-0.6798532108004127,-0.810717245398616,-0.7928277262534127
Delayed transition,USA,-0.8481358682285405,-0.9775682723860538,-1.5270235131548553,-1.757578583413457,-1.7972772743398342
Delayed transition,GBR,-0.25643457090231364,-0.2963334726173503,-0.4593082167863395,-0.5293667198970363,-0.5432748415260089
Delayed transition,CHE,-1.01060165872272,-1.1655963723660945,-1.6715966608388995,-1.9193791139378507,-1.9943159851724839
Delayed transition,RUS,-1.1806677538653212,-1.5312229717063477,-3.6084615716480624,-4.18032039349034,-4.009791723949488
Delayed transition,IND,-1.3090808453565825,-1.6265136184659092,-3.6911703340248394,-4.376234879680044,-4.3311914237898215
Delayed transition,TUR,-1.4402111503051853,-1.7037406351892646,-3.8541556582358174,-4.61623503507547,-4.730520849440293
Delayed transition,RASIA,-1.5380063207507464,-1.8859851919677035,-3.9647152168621287,-4.683455053154492,-4.664234652270966
Delayed transition,LAM,-1.463688571368365,-1.99810423266807,-3.026079700553864,-3.677049494194043,-3.6539827804766527
Delayed transition,MEA,-1.713467239945174,-1.989254735388668,-3.46756985745853,-4.084536534109924,-4.258065448127664
Delayed transition,AFR,-1.8711078331514839,-2.177342008084075,-4.184475573594081,-4.970200518443199,-5.165924972544969
Delayed transition,ROW,-1.325706440769895,-1.59459953536877,-3.1733690739701856,-3.738334254547457,-3.7430087436504715
Fragmented World,EU27,-0.45986238627932285,-0.5315579580707308,-0.672099736014631,-0.7637205910041103,-0.8480994476073397
Fragmented World,CHN,-0.20642425115014518,-0.2639745663262176,-0.41527220902123674,-0.4484563998525677,-0.50444264583999
Fragmented World,USA,-0.8477672250261827,-0.9761652997412393,-1.2047194750820895,-1.3715264749606206,-1.5186567785337997
Fragmented World,GBR,-0.25632311132967445,-0.29590928269491235,-0.3689962245161284,-0.4198210202583279,-0.4656379315349503
