scenario,region,2025,2030,2035,2040,2045
Below 2?C,CHN,-0.49526382824485693,-0.6471848822391112,-0.9040862395523479,-1.3876700498537695,-1.862179491105287
Below 2?C,USA,0.07915794823708984,-0.45364275873513094,-0.5319365591982401,-0.9672031606218224,-1.5017975896949225
Below 2?C,GBR,0.24554931904517302,-0.01003631266376212,-0.0022014794381947696,-0.20157167816655608,-0.47872001024397365
Below 2?C,CHE,0.15636203932758153,-0.023228389518309432,-0.02126053574752606,-0.16208521258646547,-0.3552136385457176
Below 2?C,IND,-0.9143909762264757,-1.792464364553938,-2.1499799552335337,-2.914770596075089,-3.691594667024788
Below 2?C,TUR,-0.466567171066694,-1.2299630885249084,-1.4689721519601586,-2.1189641717816916,-2.8270866367738834
Current Policies,CHN,-0.5000806788057379,-0.5847453264375653,-0.7192055868606029,-0.8659052988314809,-1.007059474791247
Current Policies,USA,0.0980568582495209,0.11782100541719517,0.14047808633818,0.16716198491866255,0.19245129947277292
Current Policies,GBR,0.2563421058470765,0.30890334924085067,0.3736840935337947,0.4483586235004634,0.520251094586063
Current Policies,CHE,0.16381114699865143,0.19738675701049804,0.23870444511099354,0.2863536464815202,0.33221266899811175
Current Policies,IND,-0.8919375458083955,-1.0762118468831845,-1.310240480616621,-1.5777103343881487,-1.8368422835578764
Current Policies,TUR,-0.44431403282476584,-0.5363654082900313,-0.6545364546621804,-0.7891845701362877,-0.9199267702625181
Delayed transition,CHN,-0.4993588347145404,-0.5856131251540048,-2.1016530905786612,-2.8039099536531533,-3.642412671512006
Delayed transition,USA,0.09791567652017746,0.11799073365214705,-1.3883827894136895,-2.0104779242727995,-2.8872511590175702
Delayed transition,GBR,0.2559723438888381,0.30934787591449237,-0.49555340799188163,-0.7922429426855112,-1.2562438313978623
Delayed transition,CHE,0.16357486653913203,0.19767081264244357,-0.36149028175554343,-0.5700977613739691,-0.8927508044114857
Delayed transition,IND,-0.8906499061627724,-1.0777598432515623,-3.146100901494448,-4.18004665174632,-5.406488089794688
Delayed transition,TUR,-0.4436724063694631,-0.5371367696146371,-2.465540267337763,-3.3617131243818763,-4.496659245741137
Fragmented World,CHN,-0.49923008620937964,-0.5878352999320878,-0.8291936487881268,-1.2976880983014694,-1.6647832826976385
Fragmented World,USA,0.09808435297022776,0.11869156028644051,-0.1357764800753837,-0.44331307946342036,-0.6977241957722771
Fragmented World,GBR,0.2559510689668003,0.3093232194947741,0.22110219555401545,0.10713668124410344,0.014149443139829191
Fragmented World,CHE,0.16356788095339372,0.19768160770503237,0.13305428204588945,0.05035966540420474,-0.017243146328037695
Fragmented World,IND,-0.8898575482317367,-1.074788535391004,-1.66453454911838,-2.340292737586422,-2.90581659770406
Fragmented World,TUR,-0.44314520296190013,-0.5351244024283051,-0.9942989281345013,-1.5287070053255216,-1.9744065461326104
Low demand,CHN,-0.8016780784057346,-1.0204187327516072,-1.3863954599276866,-1.8254222879737603,-1.933184902552286
Low demand,USA,-0.2831514042556726,-0.8822658370784896,-1.1034547553899134,-1.7883038213297189,-3.4531631019188853
Low demand,GBR,0.03714437448350176,-0.2531588303329617,-0.3271440093660054,-0.679738758167239,-1.620526589397324
Low demand,CHE,0.012620388584726694,-0.19113825678134447,-0.2456279103300752,-0.49150716275811424,-1.1414857639794713
Low demand,IND,-1.3373066595251484,-2.3100361279126123,-2.836237980870476,-3.8437290114756646,-5.87194968210708
Low demand,TUR,-0.8889963807250476,-1.739284864154114,-2.1459483556563548,-3.059942329775433,-5.048169360610738
Nationally Determined Contributions (NDCs),CHN,-1.1236526448592423,-1.7011947867237456,-1.619765317270803,-1.6469803946731816,-1.707213712565126
Nationally Determined Contributions (NDCs),USA,-0.47070245462423765,-0.9313297213878906,-0.7145732314354564,-0.6202756223356196,-0.6006908878800727
Nationally Determined Contributions (NDCs),GBR,-0.07131890660990181,-0.2934761827932063,-0.1135208205923782,-0.0008118607665059431,0.052427461426319835
Nationally Determined Contributions (NDCs),CHE,-0.06215142054448248,-0.21815999874325787,-0.09763290903563844,-0.023694742476438376,0.010297779209716886
Nationally Determined Contributions (NDCs),IND,-1.5533036813760985,-2.3064258229041066,-2.3316356092074777,-2.515863531944982,-2.7042798518436024
Nationally Determined Contributions (NDCs),TUR,-1.106043899751059,-1.7626954056633404,-1.664411490160314,-1.7178295520207454,-1.8122730586925615
Net Zero 2050,CHN,-1.093779879742296,-1.3329277652189446,-2.5280525673418355,-2.985402128624025,-2.727835325944375
Net Zero 2050,USA,-0.6341398328345644,-2.799597030598207,-2.6782936638414694,-3.2166275501788135,-4.383914976875921
Net Zero 2050,GBR,-0.1650315690925706,-1.3555160586538484,-1.2352361216233483,-1.5063928201751742,-2.1605708988033117
Net Zero 2050,CHE,-0.1268065899391347,-0.9514927549926092,-0.8718151979723063,-1.0613402400774288,-1.5136635501365756
Net Zero 2050,IND,-1.7455834998221171,-4.5506918909262195,-4.663314182400918,-5.485489362892756,-6.934919334217869
Net Zero 2050,TUR,-1.297435578210916,-3.976210560571246,-3.975892277187125,-4.711125734254315,-6.12033415162211
