scenario,region,2025,2030,2035,2040,2045
Below 2?C,CHN,0.00300694342229422,0.02930647213368531,-0.0930183350987432,-0.3727099648465233,-0.7332748788631623
Below 2?C,USA,-0.010467774410698944,-0.34321751796418654,-0.5745909899018805,-0.9644179431759152,-1.4637679805274857
Below 2?C,GBR,-0.006027472990998128,-0.1976288596219774,-0.3308565447268951,-0.5553236893016551,-0.842855570014924
Below 2?C,CHE,-0.004156877924826297,-0.13629576525653622,-0.22817692739785875,-0.3829818546907967,-0.5812797034585683
Below 2?C,IND,-0.012187210279604366,-0.3995944026839356,-0.6689732644164493,-1.1228331648889265,-1.7042064033217115
Below 2?C,TUR,-0.012187210279604366,-0.3995944026839356,-0.6689732644164493,-1.1228331648889265,-1.7042064033217115
Current Policies,CHN,4.9097146109236954e-05,0.011705798844316186,0.012922899660919756,0.01448390392556126,0.016557379008857672
Current Policies,USA,0.0001320724493517667,-6.791089574343512e-05,-0.0019562689476828503,-0.004157525543493338,-0.006749662741899457
Current Policies,GBR,7.604893744262379e-05,-3.910392733241119e-05,-0.001126443672041208,-0.0023939542389429143,-0.0038865386546316372
Current Policies,CHE,5.244754306387849e-05,-2.6968225746490488e-05,-0.0007768577048560057,-0.001651002923408907,-0.002680371485952854
Current Policies,IND,0.00015376666034637099,-7.906593457493799e-05,-0.0022776055437823796,-0.004840440389085203,-0.007858361856543592
Current Policies,TUR,0.00015376666034637099,-7.906593457493799e-05,-0.0022776055437823796,-0.004840440389085203,-0.007858361856543592
Delayed transition,CHN,4.9097146109236954e-05,0.011705798844316186,-0.9300642193408174,-1.5838107898453282,-2.2768462718827767
Delayed transition,USA,0.0001320724493517667,-6.791089574343512e-05,-1.0572201724412507,-1.8300078542482117,-2.6720735698482545
Delayed transition,GBR,7.604893744262379e-05,-3.910392733241119e-05,-0.60876035200137,-1.053740984666389,-1.5386127595335617
Delayed transition,CHE,5.244754306387849e-05,-2.6968225746490488e-05,-0.41983472551818635,-0.7267179204595787,-1.061112247954181
Delayed transition,IND,0.00015376666034637099,-7.906593457493799e-05,-1.230879081632864,-2.130604812256492,-3.1109881815020293
Delayed transition,TUR,0.00015376666034637099,-7.906593457493799e-05,-1.230879081632864,-2.130604812256492,-3.1109881815020293
Fragmented World,CHN,-4.759329765060998e-05,0.009610302018044196,-0.04159169764758224,-0.2782527454460888,-0.5158163077174992
Fragmented World,USA,0.0002612370683541921,0.000599064379360974,-0.17581846434227083,-0.47814857986527104,-0.7689011210182393
Fragmented World,GBR,0.00015042351047831636,0.00034494862277283523,-0.10123842982885267,-0.2753238212581614,-0.44274270325779475
Fragmented World,CHE,0.00010374035205401132,0.0002378956019123002,-0.0698196067785191,-0.18987849741942173,-0.3053397953502034
Fragmented World,IND,0.0003041478503401695,0.0006974666510610618,-0.20469839260065825,-0.5566892310705772,-0.8952007636403688
Fragmented World,TUR,0.0003041478503401695,0.0006974666510610618,-0.20469839260065825,-0.5566892310705772,-0.8952007636403688
Low demand,CHN,-0.1713208088709755,-0.4063297675050972,-0.5327053283144314,-0.7937680067808489,-0.9117992334565596
Low demand,USA,-0.21709677980156572,-0.7569965252465063,-1.0743923874715642,-1.65700500908832,-2.9881760760008964
Low demand,GBR,-0.1250069905355586,-0.4358878908910388,-0.618648324193915,-0.9541238229226969,-1.7206284625348123
Low demand,CHE,-0.08621171761073011,-0.30061233854554414,-0.4266540166854588,-0.6580164296018601,-1.186640318989526
Low demand,IND,-0.2527570811769132,-0.8813407198267086,-1.2508720034641856,-1.9291845322418166,-3.4790136624920183
Low demand,TUR,-0.2527570811769132,-0.8813407198267086,-1.2508720034641856,-1.9291845322418166,-3.4790136624920183
Nationally Determined Contributions (NDCs),CHN,-0.35551547092647284,-0.864729307346857,-0.8705924945343325,-0.7900246438791669,-0.735458160765978
Nationally Determined Contributions (NDCs),USA,-0.32384370404538937,-0.8223891499138724,-0.8479245521656831,-0.8101229165347943,-0.8000604698589214
Nationally Determined Contributions (NDCs),GBR,-0.18647317976620795,-0.47354176682766297,-0.4882453648751857,-0.4664787190877245,-0.4606846387815811
Nationally Determined Contributions (NDCs),CHE,-0.12860219294221242,-0.3265805288466642,-0.3367209412932316,-0.3217094614398101,-0.31771354398729734
Nationally Determined Contributions (NDCs),IND,-0.37703824748966813,-0.957474732300447,-0.9872045778824288,-0.9431936483121702,-0.931478344871849
Nationally Determined Contributions (NDCs),TUR,-0.37703824748966813,-0.957474732300447,-0.9872045778824288,-0.9431936483121702,-0.931478344871849
Net Zero 2050,CHN,-0.33784009110929797,-0.5921847698363486,-1.3597659367440431,-1.881603753094086,-1.83855770258117
Net Zero 2050,USA,-0.41705520742738744,-2.048020195507214,-2.548817800494931,-3.0819429982083224,-4.005438701158415
Net Zero 2050,GBR,-0.24014550752587835,-1.179275166727078,-1.4676405746532182,-1.7746206072715789,-2.30638076835656
Net Zero 2050,CHE,-0.16561759139715754,-0.8132932184324679,-1.0121659135539438,-1.2238762808769514,-1.5906074264528003
Net Zero 2050,IND,-0.48556066568712075,-2.3844278449497347,-2.967486428374062,-3.588182732571061,-4.663371773009346
Net Zero 2050,TUR,-0.48556066568712075,-2.3844278449497347,-2.967486428374062,-3.588182732571061,-4.663371773009346
