scenario,region,2025,2030,2035,2040,2045
Below 2?C,EU27,-0.5749981504097381,-0.9865112131836452,-1.0765684289445858,-1.1601814298543462,-1.2290902381414996
Below 2?C,CHN,-0.7853390987387479,-2.4380326577276223,-2.425289274374669,-2.5884688914904834,-2.672543677098859
Below 2?C,USA,-0.5338586589337468,-0.8583286630665034,-0.9446438217939563,-1.0201343480553402,-1.0778122617263386
Below 2?C,GBR,-0.4672517798287426,-0.7450571185771131,-0.8201179071186478,-0.8883136169541688,-0.938745103576941
Below 2?C,CHE,-0.5061474712491283,-0.7377042907615965,-0.8221174180776378,-0.8960605778158823,-0.9459926484456479
Below 2?C,RUS,-0.5913229934330463,-1.6727116440654353,-1.7032543185063544,-1.7949493199713895,-1.9671323565503045
Below 2?C,IND,-0.9502084589364003,-2.492179340226346,-2.5287339736249996,-2.714046072029669,-2.817495565280676
Below 2?C,TUR,-0.7619641708109302,-1.7737388192323809,-1.9315619322660829,-2.1139705307036465,-2.3644360237394886
Below 2?C,RASIA,-0.770291640919177,-1.8355275191122067,-1.8869036995342967,-2.027314454789821,-2.111010354785423
Below 2?C,LAM,-0.7330705057724558,-1.5052856790569484,-1.602239581093716,-1.6061502706030093,-1.6869871316501706
Below 2?C,MEA,-0.8581690946980984,-1.4993846000194206,-1.6680693156281492,-1.836272594464918,-2.0120838750439467
Below 2?C,AFR,-0.9371214563223911,-1.8035162152670134,-1.9998336281487679,-2.202890972751989,-2.444005745128376
Below 2?C,ROW,-0.6639638445304279,-1.4502592153981593,-1.5327104396815647,-1.641271041854678,-1.743832062878379
Current Policies,EU27,-0.5749838011206938,-0.6633549117066037,-0.7750333542900398,-0.8922365576667239,-1.0025553751545122
Current Policies,CHN,-0.785319500314444,-1.0023245626327932,-1.1647011536640686,-1.3330839029181107,-1.490857325967488
Current Policies,USA,-0.5338453362957514,-0.613521915223524,-0.7165800593049731,-0.8247665093476177,-0.9264858473141907
Current Policies,GBR,-0.46724011938976456,-0.5383672654845306,-0.6285285950294568,-0.7231956366110702,-0.8122028747710185
Current Policies,CHE,-0.5061348401539519,-0.5820599759668361,-0.6789256184947667,-0.7807271140268326,-0.8764061232026887
Current Policies,RUS,-0.5913082367515764,-0.7647490481257749,-0.8790733089775207,-1.000066770914621,-1.1193887019904731
Current Policies,IND,-0.9501847461369417,-1.1772592659213643,-1.3697646017408862,-1.5701985006067603,-1.7581932960294417
Current Policies,TUR,-0.7619451557164978,-0.8987691048940911,-1.0538109753744918,-1.217190196522632,-1.3729033942223032
Current Policies,RASIA,-0.7702724180096837,-0.9418691345598815,-1.0958997963929427,-1.2565571652314778,-1.4073532840583771
Current Policies,LAM,-0.7330522117299971,-0.9979829415039627,-1.1241703116939852,-1.254843737869639,-1.3792430470792234
Current Policies,MEA,-0.8581476787746212,-0.993375738023283,-1.1619442291283073,-1.3394894026401731,-1.507327926257025
Current Policies,AFR,-0.9370980701138669,-1.0873042232672954,-1.2739949066741298,-1.4707606693667064,-1.657291286874211
Current Policies,ROW,-0.6639472750699639,-0.7963313841181935,-0.9279065561540798,-1.0655582854335017,-1.1954070657742892
Delayed transition,EU27,-0.5740363407649626,-0.6641935398397985,-1.0983832167681924,-1.268599097393138,-1.288937060007184
Delayed transition,CHN,-0.7840254480443102,-1.0034699705994636,-2.581046250773037,-3.077868388985877,-3.0099512627822693
Delayed transition,USA,-0.5329656640489049,-0.6143005418855618,-0.9595763263811962,-1.1044563399772096,-1.1294028608874036
Delayed transition,GBR,-0.46647019945660123,-0.539048746785941,-0.8355097939505106,-0.9629505044782922,-0.988250230047685
Delayed transition,CHE,-0.50530082936136,-0.5827981861830472,-0.8357983304194497,-0.9596895569689253,-0.9971579925862419
Delayed transition,RUS,-0.5903338769326606,-0.7656114858531738,-1.8042307858240312,-2.09016019674517,-2.004895861974744
Delayed transition,IND,-0.9486190283274478,-1.1786451339376276,-2.6747885190390672,-3.171217189541848,-3.138576669660546
Delayed transition,TUR,-0.7606896197746579,-0.8998804207994956,-2.0356849768830694,-2.4381994771238307,-2.4985628708223113
Delayed transition,RASIA,-0.7690031603753732,-0.9429925959838518,-1.9823576084310643,-2.341727526577246,-2.332117326135483
Delayed transition,LAM,-0.7318442856841825,-0.999052116334035,-1.513039850276932,-1.8385247470970214,-1.8269913902383264
Delayed transition,MEA,-0.856733619972587,-0.994627367694334,-1.733784928729265,-2.042268267054962,-2.129032724063832
Delayed transition,AFR,-0.9355539165757419,-1.0886710040420375,-2.0922377867970403,-2.4851002592215994,-2.5829624862724847
Delayed transition,ROW,-0.6628532203849475,-0.797299767684385,-1.5866845369850928,-1.8691671272737285,-1.8715043718252358
Fragmented World,EU27,-0.5737868352283422,-0.663243978203047,-0.8386030081864497,-0.9529216434866117,-1.058204176990331
Fragmented World,CHN,-0.7836846705076863,-1.002173048375502,-1.5765708848864488,-1.7025538617548015,-1.9151042888250296
Fragmented World,USA,-0.5327340099277885,-0.6134189186984094,-0.7570415768063701,-0.8618625221154665,-0.954318699106753
Fragmented World,GBR,-0.4662674476634347,-0.5382771193215518,-0.6712267454544613,-0.7636801635867467,-0.8470239329798096
Fragmented World,CHE,-0.5050811997915378,-0.5819623257182884,-0.7164950288115721,-0.8169852540680466,-0.9058372127673533
Fragmented World,RUS,-0.5900772876537432,-0.7646349650955107,-1.3007510173310803,-1.412773914791858,-1.6232235647971647
Fragmented World,IND,-0.9482067100073294,-1.177075943673486,-1.7590389617848028,-1.9265916480456613,-2.163378064003359
Fragmented World,TUR,-0.7603589851818539,-0.8986221003254808,-1.5101941033290742,-1.7389842354788,-2.0255243689028504
Fragmented World,RASIA,-0.7686689122928623,-0.9417205233853471,-1.3558974741441103,-1.493420050863086,-1.673220503174111
Fragmented World,LAM,-0.7315261887480566,-0.9978415113454461,-1.1583525969572173,-1.1655316766291817,-1.2907671137278938
Fragmented World,MEA,-0.8563612397478314,-0.9932101727875496,-1.4326836568352725,-1.6507807963651164,-1.8847333803832165
Fragmented World,AFR,-0.9351472770210381,-1.0871234258745837,-1.6719723978717163,-1.9334053295973084,-2.2294582640401033
Fragmented World,ROW,-0.662565110492406,-0.7962032866009123,-1.1098138280734438,-1.2356762852270289,-1.3853546849972527
Low demand,EU27,-0.5753988915211921,-1.2352785330529201,-1.3025014798037515,-1.361335095043658,-1.280450889753923
Low demand,CHN,-0.7858864355659576,-3.4212474194455,-3.669229661661034,-3.6788961123766737,-3.418247160723572
Low demand,USA,-0.5342307281520355,-1.0453008614637005,-1.1116552669482784,-1.1675798378825015,-1.1054461423379953
Low demand,GBR,-0.467577427828556,-0.9021040992713262,-0.9649987376481156,-1.0135806782666534,-0.9669438296224601
Low demand,CHE,-0.5065002273406798,-0.8544579173667848,-0.9278085869273879,-0.9796368821776303,-0.9516474834247746
Low demand,RUS,-0.5917351120345543,-2.4152684051728617,-2.324435953457452,-2.18797486854012,-2.054468343716619
Low demand,IND,-0.9508707003604391,-3.3985429393759556,-3.6536882357246308,-3.6929924405404657,-3.460932232360361
Low demand,TUR,-0.76249521663861,-2.5616213715637794,-2.604441785566664,-2.7568025679909334,-2.5928718560194928
Low demand,RASIA,-0.7708284905213983,-2.460095778850738,-2.645368432024109,-2.6876545274178385,-2.5287541000880154
Low demand,LAM,-0.7335814143537231,-2.0606803862988707,-2.1868526710361444,-2.2023294811634564,-2.069751085106205
