scenario,region,2025,2030,2035,2040,2045
Below 2?C,EU27,4.386860273187726,5.151847729517788,5.939205194829828,6.576094213146859,6.910181952356763
Below 2?C,CHN,3.70626479339088,4.352568960886398,5.017772562499861,5.555852008593192,5.8381080068763245
Below 2?C,USA,6.87498871492269,8.073859844115258,9.30778874805479,10.30590688743333,10.829481675283395
Below 2?C,GBR,3.5361344264807215,4.152770998356072,4.787439454986299,5.3008191943145,5.5701186664918545
Below 2?C,CHE,5.771751797800332,6.778238772859452,7.8141577634189705,8.65210679930186,9.091662971444684
Below 2?C,RUS,3.5938435068548644,4.220543477118441,4.865569609265842,5.387327613972615,5.661022005293375
Below 2?C,IND,4.631271627991236,5.438879913106767,6.270104539173333,6.94247745671044,7.295178698944958
Below 2?C,TUR,1.7112122673002022,2.0096161001288118,2.316745953711614,2.5651815621384446,2.695501426936681
Below 2?C,RASIA,8.517313699173032,10.002575990593348,11.531270799141542,12.76782341827083,13.416471859455523
Below 2?C,LAM,2.3536573231413063,2.7640917150701236,3.186528161356808,3.5282346230720547,3.7074808276455435
Below 2?C,MEA,3.378935164568072,3.968159086844685,4.574613284369155,5.0651706684444155,5.322498401667863
Below 2?C,AFR,2.7417426120086645,3.219851914803523,3.7119422434431684,4.109991338216661,4.318792743709303
Below 2?C,ROW,4.202696699796963,4.935569428330034,5.689873056656655,6.30002501243639,6.620087506243568
Current Policies,EU27,4.386750797485914,5.006109932016253,5.83317001595071,6.703860529437574,7.520879126813104
Current Policies,CHN,3.7061723021980693,4.229441522511487,4.92818811579602,5.663796134998073,6.354059119097663
Current Policies,USA,6.874817147066032,7.8454628469999,9.141612801527772,10.506139383556953,11.78655254628509
Current Policies,GBR,3.5360461809534103,4.0352955350652895,4.7019672440877205,5.403808312144763,6.062385838972449
Current Policies,CHE,5.77160776162425,6.586492890302378,7.674648251783463,8.82020776897633,9.895151638754951
Current Policies,RUS,3.593753821176357,4.101150835311404,4.7787025071969635,5.491997495756312,6.161322889843707
Current Policies,IND,4.631156052914714,5.2850224194409545,6.158161672309468,7.07736219859901,7.939900509356956
Current Policies,TUR,1.7111695633725073,1.9527671714273012,2.27538409407539,2.6150202335729373,2.9337202056204807
Current Policies,RASIA,8.51710114649601,9.71961859923674,11.325398073451762,13.015888259243082,14.602171673473888
Current Policies,LAM,2.3535985867623856,2.685899839107154,3.1296377067406005,3.596784361896974,4.035134727557973
Current Policies,MEA,3.3788508420058103,3.855906008761848,4.492940750419135,5.163581393217357,5.792881780478657
Current Policies,AFR,2.7416741908194884,3.1287672882808972,3.645671345762267,4.1898439735729,4.700472205094004
Current Policies,ROW,4.202591819964449,4.795949809182623,5.5882893114297225,6.422427606178001,7.205147170748901
Delayed transition,EU27,4.379522293895048,5.012508116843227,5.997757077707632,6.806543630895841,7.298440698164916
Delayed transition,CHN,3.700065258276141,4.234847066725137,5.0672404663269095,5.750548559308685,6.166130699805458
Delayed transition,USA,6.863488798881178,7.855489938300317,9.399549941472031,10.667062029772412,11.437952045815955
Delayed transition,GBR,3.530219471460103,4.040452946112078,4.834636611012656,5.48657850026852,5.883083983811342
Delayed transition,CHE,5.762097285794651,6.5949109233551875,7.891193938318381,8.955306983115376,9.60249143977462
Delayed transition,RUS,3.587832020827919,4.106392414382571,4.913537014423615,5.576118478522728,5.979094860526652
Delayed transition,IND,4.623524817473319,5.291777075394077,6.331918605966121,7.185766229008725,7.705069053732607
Delayed transition,TUR,1.7083498920703437,1.955262954671479,2.339585682815002,2.655074525690186,2.846952142787889
Delayed transition,RASIA,8.503066636886647,9.732041002478006,11.64495227589054,13.21525275509208,14.170296081919881
Delayed transition,LAM,2.3497203186269777,2.689332621013809,3.217942671812351,3.6518763453793874,3.915791095909681
Delayed transition,MEA,3.373283159551991,3.8608341465084286,4.619712285405657,5.24267202312523,5.621550809874378
Delayed transition,AFR,2.7371564503212866,3.1327660880801154,3.7485365688381656,4.254019857295945,4.561450471919492
Delayed transition,ROW,4.195666774192767,4.802079393573847,5.745966889059171,6.52079999662343,6.992046868534706
Fragmented World,EU27,4.37761872963878,5.005263581850828,5.939113378301915,6.814633517804227,7.532826867937019
Fragmented World,CHN,3.6984570207792493,4.228726478579004,5.017694990764347,5.7573833480103715,6.364153238702697
Fragmented World,USA,6.860505575809325,7.8441364660636905,9.307644855258138,10.679740318511186,11.805276777347974
Fragmented World,GBR,3.5286850576241418,4.03461331412128,4.787365444061616,5.493099548540315,6.072016603591322
Fragmented World,CHE,5.759592783774038,6.58537935515773,7.814036961255912,8.965950773069858,9.91087117209252
Fragmented World,RUS,3.5862725656330317,4.100457480643801,4.86549439049613,5.582745949134135,6.171110826815899
Fragmented World,IND,4.621515197247664,5.284128915370986,6.270007607141262,7.194306839235463,7.952513911890873
Fragmented World,TUR,1.707607355881801,1.9524370298920537,2.3167101382173607,2.658230202610946,2.9383807418364922
Fragmented World,RASIA,8.499370769476355,9.717975367082227,11.531092532654284,13.230959684490006,14.62536882424043
Fragmented World,LAM,2.3486990100662246,2.685445751641235,3.186478899554552,3.656216766632756,4.041544981507291
Fragmented World,MEA,3.371816958259273,3.855254116028229,4.574542563608628,5.248903177447421,5.802084408350692
Fragmented World,AFR,2.7359667422131886,3.1282383281206187,3.7118848590562976,4.259075953520075,4.707939420577685
Fragmented World,ROW,4.193843122943474,4.795138989410486,5.689785094653124,6.528550264216726,7.216593337042002
Low demand,EU27,4.389917666086151,5.206707873710608,5.935632211501724,6.389266113048481,6.516972572144926
Low demand,CHN,3.7088478498260837,4.398917877496509,5.014753906447087,5.398009185551196,5.505902741252215
Low demand,USA,6.879780192281163,8.159835427730236,9.302189248975811,10.013114092628072,10.213252781903629
Low demand,GBR,3.538598911695688,4.196992339461373,4.784559365682116,5.15022190252709,5.253162771023622
Low demand,CHE,5.775774381575319,6.850417761054672,7.809456822047863,8.406298782754558,8.574320998867908
Low demand,RUS,3.596348212027049,4.265486502588732,4.862642517420158,5.234272601361354,5.3388934463908395
Low demand,IND,4.634499361747115,5.496796558152563,6.266332489168488,6.745240338267097,6.88006188805282
Low demand,TUR,1.712404885233743,2.0310157677458514,2.3153522159307967,2.492304261094976,2.542119583628718
Low demand,RASIA,8.523249783934304,10.109089767776538,11.524333669177917,12.405087101802268,12.653035726968904
Low demand,LAM,2.3552976888555004,2.7935255178555023,3.1846111688263985,3.4279967995305283,3.496514423513656
Low demand,MEA,3.3812900908098595,4.010414563154099,4.571861229765653,4.921268196553481,5.019632816922366
Low demand,AFR,2.7436534511667965,3.25413894143934,3.709709165562267,3.993225694621606,4.073040919846236
Low demand,ROW,4.205625741125843,4.988126503912935,5.686450069757978,6.1210400913729615,6.243385340768695
Nationally Determined Contributions (NDCs),EU27,4.381850260538073,5.030057321643884,5.897602405436456,6.697475943685784,7.207145089237697
Nationally Determined Contributions (NDCs),CHN,3.7020320546343397,4.249673615977732,4.982624200337993,5.658402080043353,6.088999065769555
Nationally Determined Contributions (NDCs),USA,6.867137135824422,7.8829926572033555,9.242589792588422,10.496133604421177,11.294875621674331
Nationally Determined Contributions (NDCs),GBR,3.5320959850660665,4.054598905497254,4.7539045241587345,5.3986618629602035,5.80949295842874
Nationally Determined Contributions (NDCs),CHE,5.7651601701402555,6.61800025104069,7.75942135525427,8.811807628101926,9.482374645041586
Nationally Determined Contributions (NDCs),RUS,3.5897391587997727,4.120769233290797,4.8314873943746495,5.486767057443,5.9043028427929665
Nationally Determined Contributions (NDCs),IND,4.625982485416526,5.310304023877902,6.226183874697096,7.07062189938559,7.608686963341209
Nationally Determined Contributions (NDCs),TUR,1.7092579777693013,1.9621084917221556,2.30051767217756,2.6125297550120252,2.8113398469275097
Nationally Determined Contributions (NDCs),RASIA,8.507586503247797,9.76611368160385,11.450496854689806,13.003492259302158,13.99304098552605
Nationally Determined Contributions (NDCs),LAM,2.3509693293991862,2.698748196578598,3.164207252136771,3.5933588762251896,3.8668087793687302
Nationally Determined Contributions (NDCs),MEA,3.375076252530159,3.874351245645041,4.542569152741676,5.15866373002216,5.551231281974144
Nationally Determined Contributions (NDCs),AFR,2.7386114055619464,3.143734160827475,3.6859409273868127,4.185853673055993,4.504391654064061
Nationally Determined Contributions (NDCs),ROW,4.197897011109059,4.818891870039205,5.650016782511222,6.416311049962927,6.90458391543144
Net Zero 2050,EU27,4.389341599632048,5.213413031269946,5.912060817146223,6.326313488098352,6.455211369652271
Net Zero 2050,CHN,3.7083611566823453,4.4045827694348745,4.9948394748056515,5.344823288810827,5.453723424806907
Net Zero 2050,USA,6.878877393895897,8.170343599789867,9.26524869010287,9.914456155252651,10.116462014996316
Net Zero 2050,GBR,3.5381345594497895,4.20239719327572,4.765559075299017,5.0994774223155686,5.203378665591783
Net Zero 2050,CHE,5.775016456228929,6.859239675313983,7.778444154838117,8.323472591901638,8.493062351607126
Net Zero 2050,RUS,3.595876281635682,4.2709795626491,4.843332145701737,5.182699980323193,5.288296873276718
Net Zero 2050,IND,4.633891200087388,5.503875289644325,6.241447828360385,6.678780344630864,6.814859696279564
Net Zero 2050,TUR,1.712180175094451,2.033631293920653,2.3061575626556423,2.4677479047569775,2.51802797350961
Net Zero 2050,RASIA,8.522131321435927,10.122108174285703,11.478568600871593,12.282861359130735,12.53312319196449
Net Zero 2050,LAM,2.3549886151800514,2.7971229981055132,3.171964541971069,3.394221183828693,3.4633780349622993
Net Zero 2050,MEA,3.3808463813963643,4.0155791435716,4.553705599472958,4.872779568035736,4.97206186961321
Net Zero 2050,AFR,2.7432934155499296,3.258329596043278,3.6949772861988124,3.9538809506327244,4.034440802655825
Net Zero 2050,ROW,4.205073858358953,4.994550174098757,5.663868219619519,6.060730263239501,6.184216918314527
