scenario,region,tenor,2025,2030,2035,2040,2045
Below 2?C,EU27,1D,-28.74833224063104,-30.42643495357231,-38.471074003281025,-42.288602974547004,-43.66364202712968
Below 2?C,EU27,1M,-28.70204420418507,-30.37744498371029,-38.4091312630666,-42.22051358489649,-43.5933386705176
Below 2?C,EU27,3M,-28.606635952488688,-30.276467544741802,-38.281455755464535,-42.080168689661775,-43.44843037762479
Below 2?C,EU27,6M,-28.464315560686764,-30.125839601962987,-38.091002330919466,-41.87081635249951,-43.2322708248276
Below 2?C,EU27,1Y,-28.182499954928332,-29.827573806029562,-37.71387614030556,-41.456267495745095,-42.80424266568091
Below 2?C,EU27,5Y,-26.05737042658164,-27.578395842559043,-34.87002368071715,-38.33021628200809,-39.5765460393052
Below 2?C,EU27,10Y,-23.695670469584375,-25.078838319710037,-31.70959221433888,-34.85617156210923,-35.98954069114547
Below 2?C,EU27,20Y,-19.789676694800757,-20.944843188349214,-26.482583763612933,-29.11048104412422,-30.05702563201781
Below 2?C,CHN,1D,-39.26480340156048,-43.54918890669953,-52.99781845634372,-58.15826202603094,-60.935632094948076
Below 2?C,CHN,1M,-39.2015826680695,-43.47906983243696,-52.91248602969266,-58.06462070695329,-60.837518898827334
Below 2?C,CHN,3M,-39.071272978645126,-43.33454137973905,-52.73660002836505,-57.871608533058854,-60.63528935467395
Below 2?C,CHN,6M,-38.876890147760854,-43.11894843417341,-52.47423105947253,-57.58369247000581,-60.33362374980126
Below 2?C,CHN,1Y,-38.49198314644419,-42.69204224186622,-51.95470136337973,-57.01357571660475,-59.736280852572605
Below 2?C,CHN,5Y,-35.58945675169733,-39.47280620039685,-48.03700526898323,-52.71441015408343,-55.23180699267951
Below 2?C,CHN,10Y,-32.36381973982537,-35.895203273474486,-43.68318938423442,-47.93665943879886,-50.22589296282686
Below 2?C,CHN,20Y,-27.02896843885712,-29.97823879210427,-36.48245345162899,-40.03478160030465,-41.94665792292503
Below 2?C,USA,1D,-26.69147037365002,-30.875440048860344,-36.0730599333776,-39.89790349368743,-41.815741065447966
Below 2?C,USA,1M,-26.64849411530186,-30.825727130479393,-36.01497826453721,-39.833663398102914,-41.74841303646001
Below 2?C,USA,3M,-26.559912054184707,-30.72325956016048,-35.895261143113444,-39.70125261382431,-41.60963744714758
Below 2?C,USA,6M,-26.42777428391161,-30.570408789965192,-35.71667923511822,-39.50373558188771,-41.40262604202993
Below 2?C,USA,1Y,-26.166121787726034,-30.26774146416707,-35.36306041815196,-39.112622394957384,-40.99271257992162
Below 2?C,USA,5Y,-24.19303926692971,-27.985372219254973,-32.69647356363194,-36.16329607843014,-37.90161618712676
Below 2?C,USA,10Y,-22.00031226259412,-25.44892854574661,-29.733040993689315,-32.88564935525263,-34.46641747544283
Below 2?C,USA,20Y,-18.373781295627328,-21.25392775004459,-24.83184720067935,-27.464779672488735,-28.784974012132615
Below 2?C,GBR,1D,-23.361308896334464,-25.74945475242764,-31.40044871227305,-34.612043316546696,-35.97957294593392
Below 2?C,GBR,1M,-23.32369457114273,-25.707995244791935,-31.349890471111525,-34.556314048180944,-35.92164180161947
Below 2?C,GBR,3M,-23.246164451465443,-25.622539488976223,-31.24568053332996,-34.44144566163141,-35.80223493923799
Below 2?C,GBR,6M,-23.130512850972497,-25.495065225134514,-31.090230675366698,-34.27009660650557,-35.62411584433989
Below 2?C,GBR,1Y,-22.901505430200256,-25.242647167340238,-30.782416768081006,-33.93079991714827,-35.271413466343944
Below 2?C,GBR,5Y,-21.174594563132203,-23.339200171696017,-28.461237918357146,-31.372214094752284,-32.61173734166627
Below 2?C,GBR,10Y,-19.25544315796318,-21.223860552253225,-25.881664336392646,-28.52880528313624,-29.655984807295006
Below 2?C,GBR,20Y,-16.08137635102285,-17.7253198673468,-21.615331382921166,-23.826117676934963,-24.76749295427661
Below 2?C,CHE,1D,-25.305986907708068,-27.52135336131609,-33.964172823208834,-37.40342768589071,-38.79406659607411
Below 2?C,CHE,1M,-25.265241432997374,-27.477040898361093,-33.90948669893774,-37.343203975887754,-38.73160380159073
Below 2?C,CHE,3M,-25.18125743183491,-27.38570467104386,-33.796768426369695,-37.21907170925423,-38.60285636542143
Below 2?C,CHE,6M,-25.055978582909233,-27.24945851385754,-33.628626694078335,-37.03390373365016,-38.41080394612526
Below 2?C,CHE,1Y,-24.807907774139622,-26.979670798734038,-33.29568098237097,-36.66724352037201,-38.030511507381505
Below 2?C,CHE,5Y,-22.937242736203334,-24.945241803039625,-30.784986936945295,-33.90231343777318,-35.162782842014046
Below 2?C,CHE,10Y,-20.858334377573772,-22.684339205077297,-27.994801237663168,-30.829590024883494,-31.975817259286863
Below 2?C,CHE,20Y,-17.420047018887892,-18.945053252656386,-23.38013884602606,-25.74764111481165,-26.704924278279613
Below 2?C,RUS,1D,-29.56452966783282,-34.72003792197554,-40.026305204906905,-44.31851491859091,-46.57004477421431
Below 2?C,RUS,1M,-29.516927462065958,-34.66413477019317,-39.961858368178625,-44.24715714323851,-46.49506178348789
Below 2?C,RUS,3M,-29.41881046299193,-34.548907977583404,-39.82902145195332,-44.10007549722265,-46.34050789437392
Below 2?C,RUS,6M,-29.272449435487918,-34.377024288502845,-39.63086875942618,-43.88067395578719,-46.10996001552577
Below 2?C,RUS,1Y,-28.982632768296078,-34.036668944163665,-39.23849686970487,-43.44622617552796,-45.65344082448576
Below 2?C,RUS,5Y,-26.79716842682045,-31.470099962154173,-36.279678862817335,-40.17012014204964,-42.21089756814214
Below 2?C,RUS,10Y,-24.36841715663433,-28.617819301804005,-32.99148382979955,-36.52931642859146,-38.38512876110234
Below 2?C,RUS,20Y,-20.35152783344256,-23.90045862681444,-27.553168394687418,-30.507824749327668,-32.057725019664204
Below 2?C,IND,1D,-47.50781973106503,-55.79230656416077,-64.31905102296518,-71.21628658249077,-74.83431385036405
Below 2?C,IND,1M,-47.431326817571005,-55.70247469850574,-64.21549014322437,-71.1016203805948,-74.7138222191306
Below 2?C,IND,3M,-47.27366069681977,-55.51731451659188,-64.00203190997776,-70.86527201303484,-74.46546655830132
Below 2?C,IND,6M,-47.03847030521075,-55.2411112619724,-63.68361648103058,-70.51271139406533,-74.09499467220147
Below 2?C,IND,1Y,-46.57275824637868,-54.69418761647422,-63.053106433556394,-69.81458877689504,-73.3614050742821
