scenario,region,2025,2030,2035,2040,2045
Below 2?C,CHN,-0.47660431625578425,-0.6719651844319358,-0.7644842816450599,-0.8358466422311541,-0.9700484207102478
Below 2?C,USA,0.09321655798259672,-0.3068190857696715,-0.21646426816222894,-0.2860621445145149,-0.4498760587017169
Below 2?C,GBR,0.24413879317247197,0.0470066876005067,0.1332186637294441,0.1207950527793994,0.04097401995758958
Below 2?C,CHE,0.1560063845189155,0.01789694615345731,0.07513416519648519,0.06477096525768244,0.008780287502932168
Below 2?C,IND,-0.8501761258000768,-1.4831019515611492,-1.5499745558720464,-1.770190298219869,-2.033923807490355
Below 2?C,TUR,-0.42363987147663446,-0.9821856477472449,-0.972503157262803,-1.1307939146839263,-1.362043933707655
Current Policies,CHN,-0.4765924224208405,-0.5238894471946819,-0.6227127691696784,-0.7192650686703969,-0.8097126581141015
Current Policies,USA,0.09321423172931566,0.10574780496929806,0.11893312785702789,0.13425074791570388,0.148426980799228
Current Policies,GBR,0.2441327005996394,0.2782402944993568,0.3217408900983525,0.36836358340629366,0.411998787655802
Current Policies,CHE,0.156002491322559,0.17777918878636353,0.20544837397184615,0.2351477493575305,0.262938071927795
Current Policies,IND,-0.8501549093440601,-0.970917315377796,-1.1363118801751129,-1.3087588907449914,-1.4708053123044391
Current Policies,TUR,-0.4236292993887722,-0.4841711584089114,-0.5691503262404412,-0.6569397349788897,-0.7395470974994404
Delayed transition,CHN,-0.47580709172942776,-0.5245845690619939,-0.8268244875121412,-0.9116639735997186,-0.9178553442215378
Delayed transition,USA,0.093060632986218,0.10588376023793347,-0.32860113958729364,-0.37851756188884733,-0.3564134990604697
Delayed transition,GBR,0.2437304178659257,0.27859636809752875,0.07119101374118933,0.0775634711973947,0.11164787191103395
Delayed transition,CHE,0.15574542986163545,0.17800672228872738,0.032191435972082294,0.034306516054493634,0.056426494207882
Delayed transition,IND,-0.8487540210559666,-0.9721572873964154,-1.6933269499816268,-1.9281948507311173,-2.0099591595110886
Delayed transition,TUR,-0.42293124152016015,-0.4847890322478274,-1.1101625273754874,-1.2663917741763786,-1.3003287259128642
Fragmented World,CHN,-0.47560028164560675,-0.5237974966613195,-0.594984245678662,-0.7043254824076617,-0.7612179831530617
Fragmented World,USA,0.09302018407815658,0.10572982084298549,0.0823621777995116,0.1098885146354284,0.1141628355680505
Fragmented World,GBR,0.24362448016759225,0.2781931931797065,0.30528261283771285,0.3591449221589568,0.39278780527406965
Fragmented World,CHE,0.1556777349366032,0.1777490907159617,0.19379921648722886,0.22847781728665084,0.24965544158865685
Fragmented World,IND,-0.8483851091727921,-0.9707532922131853,-1.202042833888856,-1.3613311911978014,-1.5133087428610674
Fragmented World,TUR,-0.4227474139836864,-0.4840894262239371,-0.6245803626389221,-0.6987415315642966,-0.7808888442026385
Low demand,CHN,-0.4769364824432474,-0.8987864884422616,-0.8499765419422187,-1.1075149015747552,-1.0610760092129743
Low demand,USA,0.09328152463862038,-0.7518899485830112,-0.6804365673910999,-1.0274759780791565,-1.0847112347199646
Low demand,GBR,0.24430894406992334,-0.2068887247644811,-0.13409740873352566,-0.31423161633205277,-0.3416437703515521
Low demand,CHE,0.15611511212418114,-0.15735797194846124,-0.10921167571636028,-0.23472081682937607,-0.2539857154909547
Low demand,IND,-0.8507686503592284,-2.0132692578864915,-2.0893780717083317,-2.592559302207526,-2.687104987099045
Low demand,TUR,-0.42393512444889264,-1.5070188793680277,-1.5122540757585365,-1.9713282927787519,-2.053457025380078
Nationally Determined Contributions (NDCs),CHN,-0.4760600104186657,-0.9381769372486005,-0.9088085857713597,-0.9941027593722441,-1.0444541734811101
Nationally Determined Contributions (NDCs),USA,0.09311010003646497,-0.3166710793085845,-0.2047836235541232,-0.2144943193918618,-0.230019148902632
Nationally Determined Contributions (NDCs),GBR,0.2438599745263572,0.03604603568719376,0.1381382611446408,0.16727469456819405,0.18046352445580818
Nationally Determined Contributions (NDCs),CHE,0.1558282174674951,0.010681165211993103,0.07864425634560158,0.09648375322019805,0.10414289890247384
Nationally Determined Contributions (NDCs),IND,-0.8492051823736986,-1.4679561575336553,-1.5272833759744444,-1.7133935102803262,-1.842851540464395
Nationally Determined Contributions (NDCs),TUR,-0.42315605367008874,-0.9788815858817178,-0.9538570339323565,-1.062195130450177,-1.1420978170057654
Net Zero 2050,CHN,-0.476873896506751,-1.2955635871859223,-1.4308413808863156,-1.389031461027231,-1.4881638141412963
Net Zero 2050,USA,0.09326928378099635,-2.064831202721576,-1.725450278495751,-1.913309014325237,-2.234623625863114
Net Zero 2050,GBR,0.24427688465609784,-0.9626052977540495,-0.7368525256288558,-0.8270383548895607,-1.0064589150829484
Net Zero 2050,CHE,0.15609462593607576,-0.6785607151467348,-0.524838419340393,-0.5882031926214183,-0.7123048331011633
Net Zero 2050,IND,-0.8506570083383624,-3.543339492742385,-3.3008943671061948,-3.610141542590363,-4.012404611606958
Net Zero 2050,TUR,-0.4238794936096636,-3.0364371689573963,-2.7260622276622963,-2.9950314431459275,-3.3847617173697957
