region,2025,2030,2035,2040,2045
EU27,-0.4607408188552729,-0.9601259567364324,-1.0274607578065054,-1.0638909359561972,-1.057163049300231
CHN,-0.20681856430139783,-0.8795320104593991,-0.8902037294767122,-0.8998770885188594,-0.8870896860031012
USA,-0.8493866363316189,-1.6159620603621208,-1.7447090465118444,-1.8202850956331034,-1.8170341808137636
GBR,-0.25681274165752666,-0.4828444596200378,-0.5222029923971852,-0.546747725991787,-0.5489709530765211
CHE,-1.0120920193677527,-1.6685181287558102,-1.8327678962687781,-1.9448567265078078,-1.9779634222621678
RUS,-1.1824089154199582,-4.366369266115831,-4.576637651423946,-4.4397369225355945,-4.305692241249172
IND,-1.311011381049104,-4.581577740550038,-4.693236719779968,-4.7834582522189155,-4.748539659833536
TUR,-1.4423350672812023,-4.8338168071011145,-4.945493072959798,-5.037568976020075,-5.074732245482229
RASIA,-1.5402744588172874,-4.808129856138878,-4.960351780932269,-5.07749978040979,-5.052156274526698
LAM,-1.4658471111100357,-4.134958965222928,-4.069677419553106,-4.119801441847506,-3.972468636005382
MEA,-1.7159941348091652,-3.8863713575872394,-4.105496250762814,-4.288608810668187,-4.384251722682206
AFR,-1.8738672047130405,-4.9156939497019465,-5.11975022092164,-5.301533883702332,-5.401993278287025
ROW,-1.3276614946619372,-3.8382951762527533,-3.984180283655091,-4.065155554092849,-4.024924510011651
