region,2025,2030,2035,2040,2045
EU27,-0.460456730301021,-0.7039832274814517,-0.8196635373788842,-0.8961753949382889,-0.9389992455690166
CHN,-0.20669104187551246,-0.46434671881994233,-0.5618971704611739,-0.6067319873720493,-0.630480128448212
USA,-0.8488629123383425,-1.2354605361929023,-1.4356687897388263,-1.576561702359362,-1.6574813778576882
GBR,-0.25665439328137835,-0.3707832574140801,-0.43209815057415857,-0.4755660707108906,-0.5017433812569533
CHE,-1.0114679727307163,-1.3646393605613214,-1.5928116485843862,-1.7671347166553788,-1.8803044100369812
RUS,-1.181679852950193,-2.312703956269671,-2.9295386658431752,-3.155596697924492,-3.3247175794348482
IND,-1.3102030234810134,-2.60536877276773,-3.133690359257252,-3.4035291196396305,-3.5580305108835457
TUR,-1.4414457367351725,-3.2193577824985766,-3.7083790521287696,-3.958474959035235,-4.1259348578978114
RASIA,-1.5393247397425944,-2.8697213783654227,-3.430322810663222,-3.734125206320747,-3.9113972730439026
LAM,-1.46494328325388,-2.774034398589321,-3.027741161317851,-3.203013843461768,-3.2746982699504286
MEA,-1.7149360685972896,-2.9218509766133334,-3.3774117669461625,-3.678618903998011,-3.889039949325483
AFR,-1.8727117954172687,-3.5562495124475264,-4.092828275518208,-4.419725376940294,-4.647821312327651
ROW,-1.3268428707868232,-2.463770518396858,-2.8858730573539986,-3.1156642327947606,-3.2431030169584356
