region,2025,2030,2035,2040,2045
EU27,-0.5748828871402931,-0.672154309113388,-0.7769916865206281,-0.8581720181682355,-0.9026859382023223
CHN,-0.7851816708373205,-0.9180360996923547,-1.0612241976513936,-1.172101229944479,-1.2328988547994237
USA,-0.5337516424252479,-0.6240635692551528,-0.7214001288056101,-0.796772237314665,-0.8381013122627277
GBR,-0.4671581152356327,-0.546202273918602,-0.6313946369743857,-0.6973629438678992,-0.7335355965073207
CHE,-0.5060460096838764,-0.5916700838159503,-0.683954160606898,-0.7554139027805422,-0.7945976950146281
RUS,-0.5912044577099791,-0.6912375245565978,-0.7990513528062083,-0.8825364852080148,-0.9283142054063119
IND,-0.9500179815695543,-1.110763069020259,-1.2840112138257354,-1.4181651024527704,-1.4917262144783772
TUR,-0.761811428612603,-0.8907115621774047,-1.0296377922690614,-1.1372146671615235,-1.1962027041563335
RASIA,-0.7701372294086437,-0.9004461063899077,-1.0408906546291334,-1.1496432320602756,-1.2092759465000837
LAM,-0.7329235555550179,-0.8569357988156442,-0.9905939492375515,-1.0940915113380216,-1.1508427232333112
MEA,-0.8579970674045826,-1.0031720180981871,-1.1596389514195964,-1.2807983876154783,-1.3472342021131327
AFR,-0.9369336023565202,-1.0954647846794898,-1.2663268226232367,-1.398633040589555,-1.4711810123338747
ROW,-0.6638307473309686,-0.7761523387137845,-0.8972105162126102,-0.9909513483571859,-1.0423526154045515
