region,2025,2030,2035,2040,2045
EU27,-0.5745284196358128,-0.6615691291922502,-0.7743359722482452,-0.8761727162808394,-0.9501945946129752
CHN,-0.7846975350356621,-0.9035787389976635,-1.0575969925000475,-1.1966867908238434,-1.2977867251016912
USA,-0.5334225360682228,-0.6142357290208074,-0.7189344233786357,-0.8134850363861368,-0.8822108586692021
GBR,-0.4668700698354138,-0.5376006042359522,-0.6292365653012799,-0.7119905704529247,-0.7721418150652958
CHE,-0.5057339863653582,-0.5823523807138047,-0.6816164434118618,-0.7712591847591379,-0.8364176318049645
RUS,-0.5908399264750965,-0.6803518194938349,-0.7963202398241418,-0.9010482433488791,-0.9771716859090067
IND,-0.9494322092137039,-1.0932706170997413,-1.279622535072007,-1.447912007901367,-1.5702362534444796
TUR,-0.7613417026875051,-0.8766845121151623,-1.0261185476905788,-1.161068460433057,-1.259159244038225
RASIA,-0.7696623698712972,-0.8862657553660519,-1.0373329483943767,-1.1737577223016227,-1.2729205354058903
LAM,-0.73247164162694,-0.8434406541913502,-0.9872081543381147,-1.1170407692795656,-1.2114119524711957
MEA,-0.8574680342986448,-0.9873739250718596,-1.1556753701258415,-1.3076639397780707,-1.418139579170781
AFR,-0.9363558977086344,-1.0782132522770593,-1.2619985881328508,-1.4279702487494117,-1.5486097505858942
ROW,-0.6634214353934116,-0.7639293832999685,-0.8941439006817443,-1.0117371764760401,-1.0972119747545148
