region,2025,2030,2035,2040,2045
EU27,-0.5748828871402931,-1.1979836807130326,-1.2819997332528454,-1.3274549764973311,-1.319060350393345
CHN,-0.7851816708373205,-3.3391219780493913,-3.3796369008612004,-3.416361574204613,-3.367814510226544
USA,-0.5337516424252479,-1.0154650037117159,-1.0963691672284661,-1.1438608966965689,-1.1418180329994176
GBR,-0.4671581152356327,-0.8783236620279025,-0.9499192451439912,-0.9945676197184341,-0.9986118060307716
CHE,-0.5060460096838764,-0.8342590643779051,-0.9163839481343891,-0.9724283632539039,-0.9889817111310839
RUS,-0.5912044577099791,-2.1831846330579157,-2.288318825711973,-2.2198684612677972,-2.152846120624586
IND,-0.9500179815695543,-3.3200178887831644,-3.4009310216556257,-3.466309613619618,-3.44100602652897
TUR,-0.761811428612603,-2.553121650443355,-2.6121067348151112,-2.6607393146104337,-2.6803681817461724
RASIA,-0.7701372294086437,-2.404064928069439,-2.4801758904661346,-2.538749890204895,-2.526078137263349
LAM,-0.7329235555550179,-2.067479482611464,-2.034838709776553,-2.059900720923753,-1.986234318002691
MEA,-0.8579970674045826,-1.9431856787936197,-2.052748125381407,-2.1443044053340934,-2.192125861341103
AFR,-0.9369336023565202,-2.4578469748509733,-2.55987511046082,-2.650766941851166,-2.7009966391435123
ROW,-0.6638307473309686,-1.9191475881263766,-1.9920901418275454,-2.0325777770464244,-2.0124622550058255
