region,2025,2030,2035,2040,2045
EU27,-0.5746955539757977,-1.0293304906522174,-1.1523295533010915,-1.225326651561609,-1.2455082218576712
CHN,-0.7849258090428715,-2.540845676364947,-2.789118794111144,-2.8959674356413316,-2.9050659309617086
USA,-0.5335777124188642,-0.8891119714923901,-0.9989027074309141,-1.0688129926288488,-1.091301018308077
GBR,-0.46700588560764333,-0.770885514401626,-0.8681331930167923,-0.9314914575117045,-0.9557267906428039
CHE,-0.5058811079230222,-0.7544081643426408,-0.8568003960633279,-0.9293140661149436,-0.9645399661463377
RUS,-0.5910118059466303,-1.6813403338270876,-1.9072253549189575,-1.925423203783201,-1.9249786309369137
IND,-0.9497084056910648,-2.5924821081490697,-2.8640634466622332,-2.998085848752913,-3.0308753231093584
TUR,-0.7615631823195523,-2.072405523436208,-2.271060753202218,-2.3772703970171567,-2.433198323849245
RASIA,-0.7698862700436877,-1.9102991951681854,-2.115376100755922,-2.2233560524505505,-2.2542370953263764
LAM,-0.7326847227560833,-1.7141572448580171,-1.7754859603446325,-1.8352697478687037,-1.8143051639131955
MEA,-0.8577174777536116,-1.6696119356511379,-1.8618056216505439,-1.9920302655735875,-2.0694377440138636
AFR,-0.9366282901954215,-2.068025511525731,-2.287922287631676,-2.429428915908413,-2.5138708116347157
ROW,-0.6636144293340884,-1.5586813649194253,-1.720880721652579,-1.8036275159088566,-1.8215651494886855
