region,2025,2030,2035,2040,2045
EU27,0.0,-0.5258293715996446,-0.5050080467322171,-0.46928295832909545,-0.4163744121910224
CHN,0.0,-2.4210858783570366,-2.318412703209807,-2.2442603442601343,-2.1349156554271205
USA,0.0,-0.39140143445656295,-0.3749690384228559,-0.34708865938190414,-0.30371672073669
GBR,0.0,-0.3321213881093004,-0.3185246081696055,-0.2972046758505348,-0.26507620952345073
CHE,0.0,-0.2425889805619546,-0.2324297875274911,-0.21701446047336184,-0.19438401611645584
RUS,0.0,-1.4919471085013178,-1.4892674729057642,-1.3373319760597822,-1.224531915218274
IND,0.0,-2.2092548197629056,-2.11691980782989,-2.0481445111668473,-1.9492798120505928
TUR,0.0,-1.66241008826595,-1.58246894254605,-1.5235246474489101,-1.4841654775898385
RASIA,0.0,-1.5036188216795316,-1.4392852358370014,-1.3891066581446192,-1.3168021907632657
LAM,0.0,-1.2105436837958203,-1.044244760539001,-0.9658092095857311,-0.8353915947693797
MEA,0.0,-0.9400136606954327,-0.8931091739618102,-0.8635060177186152,-0.84489165922797
AFR,0.0,-1.3623821901714837,-1.293548287837583,-1.2521339012616106,-1.2298156268096376
ROW,0.0,-1.142995249412592,-1.0948796256149351,-1.0416264286892385,-0.9701096396012743
