region,2025,2030,2035,2040,2045
EU27,0.0,-0.02769715428749004,-0.0379034823624472,-0.03957949451302402,-0.042201696859615424
CHN,0.0,-0.14225269687033718,-0.22028793855737167,-0.23524065039424763,-0.2596815819307719
USA,0.0,-0.02002545433976053,-0.02637594617737385,-0.02721962100620203,-0.02848616426501263
GBR,0.0,-0.0179597405874282,-0.024444151934949004,-0.02544044104898275,-0.02705639308057044
CHE,0.0,-0.013656847712972774,-0.018612730297491217,-0.019341564911579723,-0.020652970182253826
RUS,0.0,-0.08964405786809927,-0.15724987533960974,-0.1711389630835489,-0.2015558031657425
IND,0.0,-0.1299781178200061,-0.20151455075371613,-0.21557382206371542,-0.23832520444914534
TUR,0.0,-0.13504672057644682,-0.1905466100916629,-0.2021135330517549,-0.2250177898280938
RASIA,0.0,-0.09049869060251717,-0.13739065358633973,-0.14601335919892341,-0.16067337639182144
LAM,0.0,-0.19011902396483005,-0.18157593160184618,-0.1505995215512406,-0.1376120840846755
MEA,0.0,-0.07684237643651023,-0.10811687875757563,-0.11482887190520184,-0.12771760078286556
AFR,0.0,-0.11358754125115327,-0.15948511450955039,-0.16950578260253776,-0.18874515601193015
ROW,0.0,-0.07716802682859446,-0.1067923305847555,-0.11046405051347075,-0.11933868713762573
