region,2025,2030,2035,2040,2045
EU27,0.0,-0.21681605777336332,-0.24838769704317565,-0.24201754892344318,-0.22142852889594722
CHN,0.0,-0.859302333900325,-1.075632007670927,-1.1067565059828248,-1.0958158141910053
USA,0.0,-0.1621234249123415,-0.18323490884828403,-0.17722091779903978,-0.15934474143021393
GBR,0.0,-0.13687686357396134,-0.15677645070481494,-0.15309325611041408,-0.14056014359580496
CHE,0.0,-0.09996729956685617,-0.11478938088033122,-0.1123081735685515,-0.10373457321352608
RUS,0.0,-0.47600015864100065,-0.668449093097446,-0.6767501056133668,-0.6851871038084176
IND,0.0,-0.7946971141708076,-0.9911908483962788,-1.0184387127657453,-1.0080731443027475
TUR,0.0,-0.8237134100704085,-0.9325702532858451,-0.9297158046644187,-0.9200738618880995
RASIA,0.0,-0.5485949338166596,-0.6778284569372344,-0.6933048808587505,-0.6827781011160607
LAM,0.0,-0.5435765451033102,-0.5266624263208106,-0.4844661524513183,-0.4259371825040186
MEA,0.0,-0.47355156323480696,-0.5330305133472395,-0.5316455122209349,-0.5263803954919607
AFR,0.0,-0.6999115039467037,-0.784415549626253,-0.7818924397207351,-0.775300905577931
ROW,0.0,-0.46795587589846066,-0.548792627995255,-0.54609493992134,-0.5243395337247029
