region,2025,2030,2035,2040,2045
EU27,3.6554295755575668,4.174576177042989,4.877347532977204,5.598714833215653,6.2501116141898185
CHN,3.088311251537557,3.526915321845866,4.120655849717719,4.730107270889707,5.280443685889852
USA,5.728706982930952,6.542301855878486,7.64366931240515,8.774179914433017,9.795034293020311
GBR,2.9465470885199028,3.365017715707011,3.9315035007346943,4.512978994746053,5.038053065734795
CHE,4.809415142170871,5.492451560895941,6.417081383698209,7.366177719743619,8.22321448579885
RUS,2.994634209157686,3.419934202015315,3.9956649335739223,4.58663000348155,5.120273189246628
IND,3.859089696763486,4.407160247567789,5.149086098636209,5.910643956171374,6.5983329278783085
TUR,1.4258981463753588,1.6284051736492253,1.9025399512558878,2.1839285746734,2.43802332423625
RASIA,7.097203571891925,8.105153263778933,9.469619812638335,10.870191338932194,12.1349115216329
LAM,1.9612269491060246,2.2397617380616333,2.616815677640739,3.0038467940084255,3.3533370235425513
MEA,2.8155579994068,3.215425466817709,3.756728061233777,4.312353995399684,4.814085838278888
AFR,2.2846059387298943,2.6090672323506667,3.0482921114380077,3.499139264711077,3.9062555621317756
ROW,3.5019719929152595,3.9993244438489595,4.672592948968307,5.363676727173669,5.987727399220533
