region,2025,2030,2035,2040,2045
EU27,3.6537371502838094,4.207276128033613,4.92442151146841,5.5720564799381895,6.042801664253619
CHN,3.086881396056199,3.55454206843793,4.160426578280273,4.707584803783583,5.105296651126915
USA,5.726054652121821,6.593548483315676,7.717442592322814,8.732401542994758,9.470142803994863
GBR,2.945182868348279,3.3913762991223306,3.9694486153652107,4.491490386742311,4.87094588536666
CHE,4.807188433771664,5.535474586286481,6.479016185143069,7.331103569013083,7.950458687407151
RUS,2.9932477251572474,3.4467229527900756,4.03422930567769,4.564790705244673,4.950438849630602
IND,3.8573029790052855,4.4416820572058064,5.198782776311466,5.88250034833014,6.379472825310661
TUR,1.4252379705982452,1.6411606647728592,1.9209024165382038,2.173529770445868,2.357156529450823
RASIA,7.093917641620314,8.168641891907116,9.561016350688176,10.818432781916986,11.732408645633297
LAM,1.9603189217490116,2.25730605776241,2.642072012993476,2.989543938547567,3.2421101889862665
MEA,2.8142544257995312,3.240612276381074,3.7929863214369175,4.291820665931854,4.654407426799587
AFR,2.2835481903171946,2.6295043658489803,3.0777128644843175,3.482478067728461,3.7766889727631945
ROW,3.500350616880981,4.030651627199605,4.7176907277283195,5.338137510885888,5.789120471218507
