region,tenor,2025,2030,2035,2040,2045
EU27,1D,-28.724846988821394,-30.495822147178437,-37.79463499232448,-43.0869677423696,-46.94097089526364
EU27,1M,-28.678596766262597,-30.446720456159177,-37.73378139471946,-43.017592895978126,-46.86539067191635
EU27,3M,-28.58326645602024,-30.34551273910789,-37.60835081259253,-42.87459843533292,-46.7096057752983
EU27,6M,-28.44106232940585,-30.194541290747697,-37.42124614109038,-42.661293744148644,-46.477221603811145
EU27,1Y,-28.159476946062053,-29.895595302522267,-37.05075098103629,-42.2389186368564,-46.01706627942537
EU27,5Y,-26.03608349067026,-27.64128811023989,-34.25690213571938,-39.05385083292937,-42.547103482842715
EU27,10Y,-23.67631286709396,-25.136030370391023,-31.1520407097078,-35.51421976798439,-38.69086277931867
EU27,20Y,-19.773509999059293,-20.992607702712384,-26.016939036171625,-29.66005659888976,-32.31306184935509
CHN,1D,-39.23272697405076,-43.6972040655444,-52.20552781168215,-59.258829790392255,-64.34460630337372
CHN,1M,-39.16955788720255,-43.62684667028951,-52.12147106175309,-59.16341643388434,-64.24100427676771
CHN,3M,-39.03935465111411,-43.481826993703834,-51.94821446739803,-58.96675176128521,-64.02746123217953
CHN,6M,-38.84513061656253,-43.26550128996555,-51.6897677822062,-58.673387269637516,-63.708919290240594
CHN,1Y,-38.46053805567231,-42.83714412717067,-51.17800479292939,-58.09248181487474,-63.07815872817067
CHN,5Y,-35.560382809369614,-39.6069665332637,-47.318876278381,-53.71196026152883,-58.32168723269096
CHN,10Y,-32.337380903313054,-36.017204035088554,-43.03014774429185,-48.84379696787247,-53.035723070745256
CHN,20Y,-27.00688777954693,-30.080128950982065,-35.93705918058297,-40.792386599966086,-44.29331570053032
USA,1D,-26.669665425187336,-30.345987722487276,-35.81494715000175,-40.570545097936716,-44.02824978113308
USA,1M,-26.62672427524967,-30.297127281682226,-35.75728107166671,-40.50522197399313,-43.9573593651791
USA,3M,-26.538214579095943,-30.196416826189772,-35.6384205595654,-40.37057886684645,-43.81124103380221
USA,6M,-26.406184755565025,-30.04618714239,-35.46111645482331,-40.16973188116305,-43.59327646783174
USA,1Y,-26.144746010031415,-29.74870995864353,-35.110027878908674,-39.772024889083504,-43.16167411334743
USA,5Y,-24.173275351079955,-27.505478802272,-32.46252119547491,-36.77297566956419,-39.90702501203123
USA,10Y,-21.98233964181553,-25.012530087913298,-29.520292810328016,-33.44007086621239,-36.290066826616695
USA,20Y,-18.358771281244188,-20.88946520395558,-24.654168422966325,-27.927810354343457,-30.308013046235416
GBR,1D,-23.342224442410625,-25.574141997282833,-30.995090800445645,-35.23404108877318,-38.31882538221897
GBR,1M,-23.30464084532832,-25.532964762828463,-30.945185230946574,-35.17731033429307,-38.25712777934543
GBR,3M,-23.227174061999317,-25.44809082453623,-30.842320570844254,-35.06037769860691,-38.12995754539324
GBR,6M,-23.111616940272548,-25.321484457301228,-30.688877462223815,-34.88594940514813,-37.94025783703662
GBR,1Y,-22.882796601550776,-25.070784964252717,-30.38503721798454,-34.540555364560404,-37.564624116908014
GBR,5Y,-21.157296492373877,-23.18029740950878,-28.093823169723347,-31.935990324265425,-34.73202615506093
GBR,10Y,-19.239712891334637,-21.079359882083736,-25.54755008515529,-29.0414838663712,-31.584102042459048
GBR,20Y,-16.068239061183277,-17.60463868432196,-21.336292517167198,-24.254286334310212,-26.37777938877727
CHE,1D,-25.28531379631348,-27.415482072020314,-33.47272542069038,-38.08691020400216,-41.4455418172684
CHE,1M,-25.244601607628763,-27.371340073705014,-33.41883058180893,-38.025586010553965,-41.378809850554546
CHE,3M,-25.160686215156318,-27.280355205712983,-33.307743295591074,-37.899185442873545,-41.24126285644383
CHE,6M,-25.035509709743604,-27.144633170873895,-33.14203450397575,-37.71063384490999,-41.03608414553621
CHE,1Y,-24.787641556396295,-26.87588329618147,-32.81390637772969,-37.337273554623735,-40.62979969134753
CHE,5Y,-22.918504712829673,-24.849280500671593,-30.339541027060267,-34.52181918876598,-37.566069107013945
CHE,10Y,-20.841294667892985,-22.59707531921622,-27.589728150092814,-31.39294710540313,-34.16128257858947
CHE,20Y,-17.40581613455867,-18.872173943732022,-23.04183799688691,-26.218134427145678,-28.53013754465303
RUS,1D,-29.540377643358113,-34.01572706518979,-39.81383037161106,-45.04994363229145,-48.855907210538945
RUS,1M,-29.49281432505713,-33.960957932811944,-39.749725643174315,-44.97740817474609,-48.777243725136266
RUS,3M,-29.394777480282517,-33.848068565098146,-39.61759387576267,-44.8278991067069,-48.615103652001515
RUS,6M,-29.248536018865234,-33.67967161035226,-39.42049305300208,-44.60487658231363,-48.37323947018247
RUS,1Y,-28.958956110360845,-33.34622052011331,-39.030204022326394,-44.16325871565442,-47.89431231120257
RUS,5Y,-26.77527713090034,-30.831715490418073,-36.087092545420774,-40.83308412806467,-44.28279390456113
RUS,10Y,-24.34850997007701,-28.037294566287063,-32.81635250076397,-37.132192923365814,-40.269239553219755
RUS,20Y,-20.33490214705913,-23.415627575337698,-27.40690570989891,-31.011323096580316,-33.631259032177105
IND,1D,-47.469009371564084,-54.66053570243065,-63.97762106649305,-72.39163365775366,-78.50751081223149
IND,1M,-47.392578947097945,-54.572526114689275,-63.874609927242794,-72.27507501535709,-78.38110492227092
IND,3M,-47.2350416278548,-54.39112198646001,-63.662284811387174,-72.03482597597213,-78.1205588742799
IND,6M,-47.0000433693241,-54.120521633293166,-63.345559652497116,-71.67644672881734,-77.73190260007699
IND,1Y,-46.5347117626477,-53.584692568458244,-62.71839659187425,-70.9668023598731,-76.96230520114106
IND,5Y,-43.02571539191902,-49.544085360910046,-57.989053319236625,-65.61547982040702,-71.15888578788302
IND,10Y,-39.12609587823189,-45.05367583950386,-52.73323730678722,-59.66844551367097,-64.70942696859329
IND,20Y,-32.676551134261565,-37.62702895115744,-44.04069168294057,-49.83270032863497,-54.04272651656029
TUR,1D,-38.06499934288737,-43.831823818116,-51.30311620352469,-58.05024212836529,-62.95451257656715
TUR,1M,-38.003710428380906,-43.76124966997399,-51.22051243740903,-57.956774733427594,-62.853148756635214
TUR,3M,-37.87738257716052,-43.61578322537655,-51.050250712917176,-57.76412104953175,-62.644219072260725
TUR,6M,-37.68893945026625,-43.398791078250525,-50.79627147204748,-57.47673974564419,-62.33255887504994
TUR,1Y,-37.31579394887787,-42.9691142581343,-50.29335468893901,-56.90768189516104,-61.71542519409446
TUR,5Y,-34.501959274122775,-39.72898532482809,-46.50093409814656,-52.61650136190183,-57.061711980426686
TUR,10Y,-31.374887186645584,-36.128163699424334,-42.28633944557583,-47.847624573130176,-51.88994520104014
TUR,20Y,-26.203051504980422,-30.172798026802784,-35.315860224706455,-39.9604232398434,-43.336407828494096
RASIA,1D,-38.48100990656122,-43.6488366051622,-51.56331793907303,-58.42857551832327,-63.40034357517213
RASIA,1M,-38.419051168429085,-43.57855708693858,-51.480295219004915,-58.3344989642317,-63.29826191737262
RASIA,3M,-38.29134268614337,-43.43369792939782,-51.30916995250063,-58.14058969002919,-63.08785263565059
RASIA,6M,-38.100840073296325,-43.2176116717552,-51.053902566891246,-57.851335423361036,-62.77398532458475
RASIA,1Y,-37.723616482507055,-42.789728647948024,-50.54843506504512,-57.27856882718172,-62.152481228960106
RASIA,5Y,-34.879029542696465,-39.563126465560906,-46.73677988398452,-52.959421194759,-57.46581136890821
RASIA,10Y,-31.71778183340875,-35.9773373954145,-42.5008094374195,-48.15946399605901,-52.25741919360583
RASIA,20Y,-26.489423406063842,-30.046833927274236,-35.49497698803124,-40.22085905947452,-43.643307416583696
LAM,1D,-36.621575383027654,-40.82400537774848,-49.173646045502565,-55.54788690384577,-60.26307365525415
LAM,1M,-36.562610542846684,-40.758274154351625,-49.094470964969766,-55.458448581233526,-60.16604335358824
LAM,3M,-36.441073041039054,-40.622789878334046,-48.93127639912614,-55.274099564721396,-59.96604585630134
LAM,6M,-36.25977567348082,-40.420688121903346,-48.687839231608166,-54.999106324704826,-59.66770979346421
LAM,1Y,-35.90077984151358,-40.0204964965695,-48.20579732630145,-54.45457868861874,-59.07695988613507
LAM,5Y,-33.19364571736244,-37.002711027573774,-44.570791081310595,-50.34837685024615,-54.62220278155733
LAM,10Y,-30.185152136471157,-33.64898424655309,-40.5311342142967,-45.785070672551086,-49.67153999983998
LAM,20Y,-25.20943235309164,-28.102286457877533,-33.84998298335037,-38.23786067676027,-41.48368448959692
MEA,1D,-42.87105257325149,-49.3659912183624,-57.78060238805468,-65.37961447883612,-70.90309378654277
MEA,1M,-42.80202537447774,-49.28650644054711,-57.68756914331472,-65.27434597308459,-70.78893186014467
MEA,3M,-42.65974748022769,-49.12267353100718,-57.49581032371901,-65.05736800504813,-70.55362289817025
MEA,6M,-42.44751169040464,-48.87828414684813,-57.20976388799581,-64.73370219130277,-70.20261275945315
MEA,1Y,-42.027253167256056,-48.39435671054955,-56.643349275600926,-64.09279559872606,-69.50756032446837
MEA,5Y,-38.85814620925465,-44.745131957053296,-52.37210100725898,-59.25981439766255,-64.2662733866488
MEA,10Y,-35.336252759186,-40.689673770412604,-47.62537535260412,-53.8888234333611,-58.44152389700762
MEA,20Y,-29.511425667725288,-33.98238888268536,-39.77480957571316,-45.005791019009074,-48.80802444302134
AFR,1D,-46.81522962051299,-52.07517728912314,-62.67856954299156,-71.12363895320053,-77.09592722387046
AFR,1M,-46.7398518547086,-51.99133041814248,-62.57765002226587,-71.00912192436981,-76.97179414166924
AFR,3M,-46.58448426073927,-51.81850642333306,-62.369636121185536,-70.77308103024033,-76.71593277316367
AFR,6M,-46.35272257918783,-51.56070504644248,-62.059341996981175,-70.42097906907365,-76.33426463057394
AFR,1Y,-45.89379987773183,-51.05021986386307,-61.44491334435607,-69.72376466277107,-75.57850477465453
AFR,5Y,-42.43313210715861,-47.20072709938905,-56.81159834662251,-64.46617462110272,-69.87943221325024
AFR,10Y,-38.58722115635503,-42.92270697165006,-51.66250052225828,-58.6233071583474,-63.54593618693317
AFR,20Y,-32.22650450913516,-35.847328942430394,-43.14645512532736,-48.95984255574613,-53.07102552856802
ROW,1D,-33.16925424308831,-37.40603578661906,-44.42349332768177,-50.35731351317756,-54.64080014439376
ROW,1M,-33.1158480268098,-37.34580787728166,-44.35196652532685,-50.276232595380016,-54.552822333112374
ROW,3M,-33.00576788264988,-37.22166695503888,-44.20453648322341,-50.1091097444889,-54.37148370207694
ROW,6M,-32.84156144381577,-37.0364860678713,-43.98461523969923,-49.85981275816988,-54.100981051007324
ROW,1Y,-32.516408200183086,-36.66980028777138,-43.54913837178018,-49.36616753752553,-53.565345450899216
ROW,5Y,-30.064475996422015,-33.90467740957577,-40.26527214146224,-45.64366241899151,-49.526197132054264
ROW,10Y,-27.339593534933755,-30.83173973899189,-36.61584436236575,-41.50676626226479,-45.0374089035348
ROW,20Y,-22.83293556593311,-25.74943647009589,-30.580089420490282,-34.66479186698833,-37.61344345653909
