region,2025,2030,2035,2040,2045
EU27,-28.734777698789888,-28.91350280206234,-37.477330787537376,-42.115704558243124,-45.2324795140552
CHN,-39.24629045214358,-42.59559061128717,-52.12548973419689,-58.25101105746583,-62.30091023605705
USA,-26.678885620943205,-30.341285479813102,-35.84615456428662,-40.08290068722804,-42.828079625937505
GBR,-23.350294280382165,-24.859658419344132,-30.864357961992223,-34.60634874255512,-37.081109483390414
CHE,-25.294055396151112,-26.43430438015347,-33.28500690129722,-37.34836621076448,-40.050162083195545
RUS,-29.550590297331517,-34.30116465687906,-39.91306148790472,-44.59200275313364,-47.60317857810607
IND,-47.48542028455326,-55.119210939371676,-64.13707748394862,-71.65575952145088,-76.49447672340177
TUR,-38.07815911597762,-44.19963163260175,-51.43098296345968,-57.460150848061616,-61.34027747280246
RASIA,-38.49431350218438,-43.35799338606383,-51.597781435188764,-57.653187949308375,-61.59842885009944
LAM,-36.634236137804166,-40.311597934858085,-49.242462974419155,-54.69821292938834,-58.42381502199362
MEA,-42.88587388768058,-49.78023812296974,-57.924613492275775,-64.71501879414862,-69.08504678289783
AFR,-46.83141450977108,-51.76474942957474,-62.78046029861176,-70.20063178319975,-74.82415928276087
ROW,-33.18072146670442,-37.11821252765669,-44.44148547347429,-49.68068163677029,-53.067982937076565
