phi,EU27,CHN,USA,GBR,CHE,RUS,IND,TUR,RASIA,LAM,MEA,AFR,ROW
0.0000,5.0765,6.9216,4.1399,4.0431,4.1177,5.6370,10.0497,7.5426,6.7790,6.3270,5.5634,7.8853,5.1848
0.1000,4.3399,5.9991,3.4674,3.4657,3.5007,4.8745,8.8675,6.5093,5.8345,5.4459,4.7003,6.7769,4.4556
0.2000,3.5734,5.0356,2.7745,2.8623,2.8637,4.0721,7.5828,5.4162,4.8481,4.5173,3.8040,5.6033,3.6900
0.3000,2.7708,4.0248,2.0579,2.2283,2.2021,3.2215,6.1781,4.2553,3.8104,3.5330,2.8697,4.3553,2.8813
0.4000,1.9242,2.9947,1.3139,1.5571,1.5098,2.3121,4.5619,3.0132,2.7091,2.4831,1.8910,3.0217,2.0209
0.5000,1.0266,1.9275,0.4896,0.8406,0.7785,1.3313,1.7812,1.6734,1.6235,1.0169,0.7780,1.4572,1.0463
0.6000,0.3089,0.6632,0.0572,0.3680,0.2575,0.4060,0.8568,0.4091,0.5204,0.4895,0.0473,0.1876,0.3016
0.7000,-0.9950,-0.9312,-0.8821,-0.6443,-0.7865,-0.9258,-1.5698,-1.3636,-1.1574,-1.1854,-1.4002,-1.6489,-0.9949
0.8000,-2.1855,-2.6002,-1.9126,-1.7201,-1.7919,-2.2683,-3.9300,-3.1637,-2.7661,-2.7028,-2.6603,-3.5041,-2.2158
0.9000,-3.5206,-4.5423,-2.9617,-2.7906,-2.8607,-3.8117,-6.6495,-5.2036,-4.6019,-4.3864,-4.0364,-5.5651,-3.5934
1.0000,-5.0765,-6.9216,-4.1399,-4.0431,-4.1177,-5.6370,-10.0497,-7.5426,-6.7790,-6.3270,-5.5634,-7.8853,-5.1848
