,Below 2?C,Current Policies,Delayed transition,Fragmented World,Low demand,Nationally Determined Contributions (NDCs),Net Zero 2050,consensus
EU27,0.6699,0.7851,0.6727,0.7809,0.6700,0.6630,0.6712,0.7078
CHN,0.6711,0.6715,0.6710,0.6706,0.6712,0.6790,0.6711,0.6730
USA,0.6099,0.6758,0.6111,0.6431,0.6110,0.6077,0.6113,0.6252
GBR,0.6734,0.8049,0.6769,0.7885,0.6750,0.6657,0.6759,0.7152
CHE,0.8098,0.9166,0.8136,0.9120,0.8107,0.7990,0.8120,0.8541
RUS,0.6181,0.6165,0.6182,0.6155,0.6196,0.6249,0.6184,0.6174
IND,0.6059,0.6033,0.6057,0.6079,0.6057,0.6152,0.6054,0.6073
TUR,0.6283,0.6572,0.6285,0.6156,0.6289,0.6141,0.6327,0.6224
RASIA,0.6602,0.6551,0.6597,0.6590,0.6601,0.6823,0.6595,0.6626
LAM,0.6086,0.5920,0.6069,,0.6035,0.6045,0.6034,0.5975
MEA,0.5928,0.6077,0.5930,0.5839,0.5938,0.5846,0.5957,0.5886
AFR,0.5722,0.5794,0.5723,0.5680,0.5727,0.5685,0.5736,0.5703
ROW,0.6061,0.6068,0.6061,0.6079,0.6058,0.6051,0.6059,0.6064
