phi,rate_IND_bp,rate_EU27_bp,spot_USD_pct,fwd5_IND_pct
0.000000,-72.741962,-43.950920,-0.036538,-1.347272
0.100000,-72.741962,-43.950920,-0.036538,-1.347272
0.200000,-72.741962,-43.950920,-0.036538,-1.347272
0.300000,-72.741962,-43.950920,-0.036538,-1.347272
0.400000,-72.741962,-43.950920,-0.036538,-1.347272
0.500000,-72.741962,-43.950920,-0.036538,-1.347272
0.600000,-72.741962,-43.950920,-0.036538,-1.347272
0.700000,-72.741962,-43.950920,-0.036538,-1.347272
0.800000,-72.741962,-43.950920,-0.036538,-1.347272
0.900000,-72.741962,-43.950920,-0.036538,-1.347272
1.000000,-72.741962,-43.950920,-0.036538,-1.347272
