scenario,region,2025,2030,2035,2040,2045
Below 2?C,EU27,-28.749907520486907,-30.428102185941377,-38.473182045841675,-42.29092020059828,-43.66603459916285
Below 2?C,CHN,-39.266954936937395,-43.55157520721428,-53.000722499441615,-58.16144883832513,-60.93897109468344
Below 2?C,USA,-26.69293294668734,-30.87713188469774,-36.07503657550685,-39.900089720114025,-41.81803238078436
Below 2?C,GBR,-23.36258899143713,-25.750865707227785,-31.40216931623392,-34.61393990150858,-35.98154446539495
Below 2?C,CHE,-25.307373562456416,-27.52286140822446,-33.96603390776921,-37.40547722621468,-38.796192337182305
Below 2?C,RUS,-29.566149671652312,-34.72194042455814,-40.02849846717222,-44.32094337472564,-46.57259660410154
Below 2?C,IND,-47.510422946820015,-55.795363732691705,-64.32257541890499,-71.2201889160496,-74.83841443561364
Below 2?C,TUR,-38.09820854054651,-44.74183287029677,-51.5797321972377,-57.11087044326949,-60.0122950537255
Below 2?C,RASIA,-38.514582045958846,-44.083859886266666,-52.07124273874273,-57.42111923565151,-60.25896820095736
Below 2?C,LAM,-36.65352528862279,-41.464686704295005,-49.359803904162476,-54.88874628827328,-57.006984710509094
Below 2?C,MEA,-42.90845473490492,-50.39089721052463,-58.092143673061635,-64.32163855363518,-67.58939447533407
Below 2?C,AFR,-46.85607281611956,-53.42885645829348,-63.26955854533371,-69.9269279153477,-72.98677135979506
Below 2?C,ROW,-33.1981922265214,-37.90454899640381,-44.83955296930457,-49.514077453705454,-51.82505900763126
Current Policies,EU27,-28.749190056034692,-32.80322237088964,-38.19177206339963,-43.897733667226355,-49.252100794592366
Current Policies,CHN,-39.2659750157222,-44.6672798638257,-52.19501195948081,-59.98888784629661,-67.30025359383723
Current Policies,USA,-26.69226681478757,-30.460201205190085,-35.48817906503027,-40.78607751171708,-45.75741739594128
Current Policies,GBR,-23.36200596948823,-26.657914685632434,-31.046467250732146,-35.68328495122488,-40.0343452242123
Current Policies,CHE,-25.306742007697597,-28.87645395319207,-33.62679272850514,-38.649569750649896,-43.3628188205111
Current Policies,RUS,-29.565411837578818,-33.7397104775313,-39.31385250765496,-45.18205081722506,-50.68851617746668
Current Policies,IND,-47.50923730684708,-54.21699926073543,-63.174196878886455,-72.60391927154555,-81.45236592802468
Current Policies,TUR,-38.09725778582489,-43.47615567620215,-50.65885710525869,-58.2204721764845,-65.31596712410433
Current Policies,RASIA,-38.513620900484185,-43.88748451420037,-51.204486774906414,-58.848872892714716,-66.02110899108881
Current Policies,LAM,-36.652610586499854,-41.43956114904162,-48.74890649442381,-56.02378528409276,-62.850219215260175
Current Policies,MEA,-42.90738393873106,-48.965416730674434,-57.054999704503906,-65.57133762262832,-73.56270350162156
Current Policies,AFR,-46.85490350569334,-53.44321830571039,-62.287173772035054,-71.58694572735078,-80.31333014562219
Current Policies,ROW,-33.197363753498195,-37.83216081703036,-44.1350528573933,-50.72393460247075,-56.906395211650484
Delayed transition,EU27,-28.70181703824813,-32.845153777549385,-35.656820977383425,-42.93167305236088,-47.40205961376605
Delayed transition,CHN,-39.20127240221551,-44.72455026215921,-51.33618448769507,-59.634329205335185,-64.69412958292449
Delayed transition,USA,-26.648283202445246,-30.499132538291978,-35.97982450565055,-41.17963815824403,-44.34859388559911
Delayed transition,GBR,-23.32350997283006,-26.69198875070295,-30.096582864906598,-35.40173409484201,-38.65147256151751
Delayed transition,CHE,-25.265041468068,-28.913364464002626,-32.19522823437842,-38.16197161304274,-41.821127386472625
Delayed transition,RUS,-29.51669384663303,-33.782832363901235,-40.42312095909497,-45.87410475954459,-49.18934650608792
Delayed transition,IND,-47.430951416372395,-54.2862926615486,-64.95670200298144,-73.71599425820303,-79.04332092394888
Delayed transition,TUR,-38.034480988732895,-43.531721471472366,-52.08823297123187,-59.11223575438035,-63.38417419833787
Delayed transition,RASIA,-38.45015801876866,-43.94365758539888,-51.60580329876926,-59.18036341778297,-63.79293712810976
Delayed transition,LAM,-36.59221428420912,-41.49301989054524,-49.25466420749685,-55.82138069407182,-60.6871291649415
Delayed transition,MEA,-42.83668099862935,-49.02799821422698,-58.664847306104434,-66.57569448302134,-71.38700410556616
Delayed transition,AFR,-46.777695828787095,-53.5115573444475,-62.328838643405184,-72.01638913035656,-77.63440858842768
Delayed transition,ROW,-33.14266101924738,-37.88057999533994,-44.3377958417069,-50.96720793802756,-55.02318965751157
Fragmented World,EU27,-28.689341761417108,-32.79767569571181,-38.575049786070615,-44.62369508032567,-49.2678922581343
Fragmented World,CHN,-39.184233525384315,-44.65970415096113,-52.56225794229654,-60.98060637294474,-67.18772350941352
Fragmented World,USA,-26.636700496389427,-30.45505137893435,-36.08893482857568,-41.460102367427254,-45.82129716856474
Fragmented World,GBR,-23.313372383171735,-26.65340737748349,-31.45347111197941,-36.273213185649965,-40.066379840920455
Fragmented World,CHE,-25.254059989576888,-28.871571440764686,-34.033022871944944,-39.28860514273298,-43.39055559567996
Fragmented World,RUS,-29.503864382687162,-33.73400632601808,-40.02787965074373,-45.92862822103298,-50.76904044318514
Fragmented World,IND,-47.41033550036647,-54.2078331483415,-64.32158103070866,-73.80360907259737,-81.58176194219126
Fragmented World,TUR,-38.017949259092696,-43.468805447771636,-51.57893480570708,-59.182493337095906,-65.4197286994865
Fragmented World,RASIA,-38.43344561464311,-43.88005395547364,-51.874575122687155,-59.82149084289997,-66.02778138576626
Fragmented World,LAM,-36.576309437402834,-41.432489641115794,-49.634094868176106,-57.3152419266142,-62.93901398826965
Fragmented World,MEA,-42.81806198739157,-48.95713846888776,-58.09124560357996,-66.65482272613875,-73.6795659219574
Fragmented World,AFR,-46.757363851051906,-53.43417843607482,-62.596783486677275,-72.5897141945153,-80.12636483431233
Fragmented World,ROW,-33.1282555246203,-37.8257559411663,-44.6946326153085,-51.55679530971302,-56.902414147517106
Low demand,EU27,-28.769944576059604,-27.21245703958274,-37.1933563079605,-38.483082831250044,-41.17246291815258
Low demand,CHN,-39.294321778297885,-41.987305646200184,-51.25743011178341,-55.18202492372427,-56.81195937923258
Low demand,USA,-26.711536407601773,-30.70653688175627,-35.87603497582343,-38.3988037262067,-39.43721685258609
Low demand,GBR,-23.3788713914278,-24.236038350102795,-30.748118525715483,-32.3132361648776,-33.92961841272873
Low demand,CHE,-25.32501136703399,-25.483606291262262,-33.11755486326939,-34.62542184933193,-36.58274663502822
Low demand,RUS,-29.586755601727713,-35.09168168213293,-40.00441760904718,-43.06177685781144,-43.92248088040355
Low demand,IND,-47.543535018021956,-56.38950817568998,-64.28387941800025,-69.19680966499934,-70.57989175717273
Low demand,TUR,-38.124760831930494,-45.21827230165886,-51.5487021995927,-55.48833964093557,-56.5974215372449
Low demand,RASIA,-38.54142452606992,-43.64567142461932,-51.273998049142754,-55.19587140156361,-56.534948635525424
Low demand,LAM,-36.67907071768616,-40.397835404899546,-48.710884901278526,-52.275132618396015,-53.34939007578742
Low demand,MEA,-42.93835949517063,-50.92749146410395,-58.0571958552933,-62.494248443839325,-63.743362041777786
Low demand,AFR,-46.88872884237861,-52.11921166002907,-62.84867293278032,-66.79630291028782,-68.70560928002149
