step,a,b,cost,n_groups
1,CIV,NGA,5.2251557436084175,53
2,BGD,STP,5.457394677446155,52
3,ISL,USA,6.740596650982015,51
4,JOR,PHL,8.593248290954536,50
5,BRA,MYS,11.651611485845251,49
6,ARG,COL,15.716088959811405,48
7,ARE,BRN,21.10782956806654,47
8,AUS,NZL,30.318764718081212,46
9,CMR,IND,69.93599181723187,45
10,PAK,SEN,79.7723181721152,44
11,PER,ARE+BRN,110.4813761678373,43
12,KHM,MMR,169.27737694543913,42
13,LAO,KHM+MMR,303.1470174667524,41
14,EGY,CMR+IND,350.4241782850422,40
15,MEX,PER+ARE+BRN,410.7767058337329,39
16,MAR,TUN,429.13161524325585,38
17,IDN,JOR+PHL,435.3267664535756,37
18,HKG,SGP,692.14547146939,36
19,CRI,HKG+SGP,878.3616991740811,35
20,CHL,KOR,911.9756719922643,34
21,ARG+COL,MEX+PER+ARE+BRN,924.1166246493093,33
22,COD,PAK+SEN,1233.6407027914536,32
23,THA,IDN+JOR+PHL,1309.1286475230647,31
24,BLR,UKR,1439.3246255105203,30
25,VNM,CIV+NGA,1595.2709703710022,29
26,MAR+TUN,THA+IDN+JOR+PHL,2081.7084417010938,28
27,LAO+KHM+MMR,EGY+CMR+IND,2427.1743454702923,27
28,CAN,AUS+NZL,2536.4999482196786,26
29,AGO,VNM+CIV+NGA,2850.9567386645126,25
30,CHN,TUR,3146.0369279477513,24
31,JPN,CHL+KOR,4775.7813354102145,23
32,TWN,BRA+MYS,5107.857471509321,22
33,KAZ,BLR+UKR,7123.727707466715,21
34,SAU,AGO+VNM+CIV+NGA,7621.396127093714,20
35,ZAF,MAR+TUN+THA+IDN+JOR+PHL,10297.986445284645,19
36,GBR,NOR,11364.673296643212,18
37,ISR,CRI+HKG+SGP,11468.622888536058,17
38,COD+PAK+SEN,LAO+KHM+MMR+EGY+CMR+IND,13945.700777005215,16
39,ARG+COL+MEX+PER+ARE+BRN,CHN+TUR,14143.648927978044,15
40,BGD+STP,SAU+AGO+VNM+CIV+NGA,18883.953582066064,14
41,ISL+USA,CAN+AUS+NZL,22847.8119535142,13
42,JPN+CHL+KOR,ISR+CRI+HKG+SGP,23091.285591456533,12
43,TWN+BRA+MYS,ARG+COL+MEX+PER+ARE+BRN+CHN+TUR,30740.82202963065,11
44,ZAF+MAR+TUN+THA+IDN+JOR+PHL,COD+PAK+SEN+LAO+KHM+MMR+EGY+CMR+IND,55200.33046072891,10
45,RUS,KAZ+BLR+UKR,63569.67611190448,9
46,BGD+STP+SAU+AGO+VNM+CIV+NGA,ZAF+MAR+TUN+THA+IDN+JOR+PHL+COD+PAK+SEN+LAO+KHM+MMR+EGY+CMR+IND,89521.22937777365,8
47,ISL+USA+CAN+AUS+NZL,JPN+CHL+KOR+ISR+CRI+HKG+SGP,150158.16938621842,7
48,CHE,GBR+NOR,393882.8837776598,6
49,TWN+BRA+MYS+ARG+COL+MEX+PER+ARE+BRN+CHN+TUR,RUS+KAZ+BLR+UKR,472790.76767150016,5
50,BGD+STP+SAU+AGO+VNM+CIV+NGA+ZAF+MAR+TUN+THA+IDN+JOR+PHL+COD+PAK+SEN+LAO+KHM+MMR+EGY+CMR+IND,TWN+BRA+MYS+ARG+COL+MEX+PER+ARE+BRN+CHN+TUR+RUS+KAZ+BLR+UKR,948858.6640576187,4
51,ISL+USA+CAN+AUS+NZL+JPN+CHL+KOR+ISR+CRI+HKG+SGP,CHE+GBR+NOR,1089385.8407307018,3
52,BGD+STP+SAU+AGO+VNM+CIV+NGA+ZAF+MAR+TUN+THA+IDN+JOR+PHL+COD+PAK+SEN+LAO+KHM+MMR+EGY+CMR+IND+TWN+BRA+MYS+ARG+COL+MEX+PER+ARE+BRN+CHN+TUR+RUS+KAZ+BLR+UKR,ISL+USA+CAN+AUS+NZL+JPN+CHL+KOR+ISR+CRI+HKG+SGP+CHE+GBR+NOR,6155323.334619201,2
