,EU27,USA,CHN,GBR,JPN,IND,CAN,NOR,IDN,MEA,AFR,ROW
EU27,15.465,0.306,0.260,0.215,0.083,0.052,0.049,0.044,0.010,0.083,0.066,0.836
USA,0.382,18.563,0.146,0.076,0.087,0.042,0.182,0.006,0.009,0.037,0.017,0.597
CHN,0.284,0.193,25.748,0.045,0.118,0.060,0.041,0.006,0.040,0.060,0.035,0.826
GBR,0.259,0.076,0.024,2.202,0.010,0.012,0.012,0.005,0.001,0.016,0.008,0.105
JPN,0.066,0.057,0.144,0.010,3.317,0.011,0.008,0.001,0.011,0.008,0.002,0.213
IND,0.074,0.076,0.020,0.015,0.009,2.529,0.011,0.001,0.010,0.029,0.017,0.155
CAN,0.031,0.304,0.030,0.012,0.011,0.004,1.362,0.003,0.002,0.003,0.001,0.047
NOR,0.145,0.008,0.015,0.070,0.001,0.001,0.002,0.280,0.000,0.001,0.002,0.024
IDN,0.012,0.011,0.068,0.001,0.022,0.023,0.001,0.000,0.971,0.003,0.001,0.076
MEA,0.085,0.045,0.144,0.011,0.094,0.099,0.005,0.001,0.009,1.156,0.022,0.242
AFR,0.090,0.025,0.066,0.007,0.007,0.031,0.003,0.001,0.008,0.010,1.042,0.058
ROW,0.895,0.549,1.227,0.083,0.293,0.278,0.067,0.013,0.061,0.119,0.061,18.364
