scenario,region,2025,2030,2035,2040,2045
Below 2?C,CHN,-0.47660431625578425,-0.5856090201703898,-0.7216471803569846,-0.7448239878307901,-0.8722475219431844
Below 2?C,USA,0.09321655798259672,-0.11180808152825425,-0.06548789289454655,-0.06269777661419143,-0.05345911284885716
Below 2?C,GBR,0.24413879317247197,0.15929641747958978,0.22015271374819984,0.24941099747290682,0.2692357631472322
Below 2?C,CHE,0.1560063845189155,0.09533813917351462,0.13508868245079958,0.15347161677044574,0.16620217935785805
Below 2?C,IND,-0.8501761258000768,-1.211594665851015,-1.3848396255771203,-1.4740089791074376,-1.6278655943748597
Below 2?C,TUR,-0.42363987147663446,-0.7335979523829537,-0.7984481560081333,-0.896136684167129,-0.8850902091553224
Current Policies,CHN,-0.4765924224208405,-0.5232354594420541,-0.6222344489607621,-0.718722825958746,-0.8090946699606003
Current Policies,USA,0.09321423172931566,0.10574824765373597,0.11896149576260792,0.13432882898017168,0.14857769743843388
Current Policies,GBR,0.2441327005996394,0.2782405494024897,0.3217572246865835,0.3684085434416101,0.41208557214660846
Current Policies,CHE,0.156002491322559,0.17777936458162757,0.20545963920510893,0.23517875627843843,0.26299792330076477
Current Policies,IND,-0.8501549093440601,-0.969690072926866,-1.135398541844411,-1.307697711494217,-1.4695612405524505
Current Policies,TUR,-0.4236292993887722,-0.4840643125430492,-0.5689729753532473,-0.6566476770859001,-0.7391116467193296
Delayed transition,CHN,-0.47580709172942776,-0.5239305813093662,-0.7838701001401528,-0.8145115493312223,-0.7747915520330333
Delayed transition,USA,0.093060632986218,0.10588420292237141,-0.0945622540328104,-0.05082340445492605,-0.04037106527904511
Delayed transition,GBR,0.2437304178659257,0.27859662300066174,0.2059534767229224,0.2662537892866021,0.29362898450358704
Delayed transition,CHE,0.15574542986163545,0.17800689808399145,0.12513106561465678,0.16443776990911949,0.1819307097889532
Delayed transition,IND,-0.8487540210559666,-0.9709300449454854,-1.4813368278416672,-1.5619374461655509,-1.5641059217353857
Delayed transition,TUR,-0.42293124152016015,-0.48468218638196514,-0.8111856114379418,-0.9106001538190734,-0.8853099302305298
Fragmented World,CHN,-0.47560028164560675,-0.5231435089086915,-0.5806624515233989,-0.695193583873668,-0.7430263549912487
Fragmented World,USA,0.09302018407815658,0.10573026352742343,0.08452490691071347,0.11146517166173006,0.11674309922230323
Fragmented World,GBR,0.24362448016759225,0.27819344808283936,0.3065279388060764,0.3600527806271702,0.39427355275729464
Fragmented World,CHE,0.1556777349366032,0.17774926651122577,0.19465806198265204,0.22910392657507378,0.2506800950253635
Fragmented World,IND,-0.8483851091727921,-0.9695260497622553,-1.1739584196417419,-1.3433129649837485,-1.477729428810213
Fragmented World,TUR,-0.4227474139836864,-0.4839825803580748,-0.5183794414660213,-0.5976852637105986,-0.6063762700529985
Low demand,CHN,-0.4769364824432474,-0.7406433233572578,-0.584244085877578,-0.8340706953995655,-0.6775491659787731
Low demand,USA,0.09328152463862038,-0.054715529581946934,-0.03922658907159484,-0.02958730533491945,-0.026873666010258097
Low demand,GBR,0.24430894406992334,0.19455286307187178,0.23511916723023266,0.26036492988710197,0.2674720859993442
Low demand,CHE,0.15611511212418114,0.1194982955248856,0.14542044563795592,0.16155266332176516,0.16609418544069804
Low demand,IND,-0.8507686503592284,-1.3251393532150804,-1.2308131171377519,-1.5192698235669106,-1.3736233916063085
Low demand,TUR,-0.42393512444889264,-0.5533449452738456,-0.7841249540433144,-0.8536703734479468,-0.7558477708693878
Nationally Determined Contributions (NDCs),CHN,-0.4760600104186657,-1.0518617300465771,-0.977739796618194,-1.0628394601657942,-1.1088765439296755
Nationally Determined Contributions (NDCs),USA,0.09311010003646497,-0.11479501123224609,-0.06268708118318586,-0.051541692520437526,-0.04490478377805142
Nationally Determined Contributions (NDCs),GBR,0.2438599745263572,0.15228875358674604,0.21995919438711203,0.26110481726130647,0.28705464805642417
Nationally Determined Contributions (NDCs),CHE,0.1558282174674951,0.09084855686685665,0.13507248616799555,0.16119418266372387,0.17765401862703642
Nationally Determined Contributions (NDCs),IND,-0.8492051823736986,-1.5679058709061036,-1.5768306410707946,-1.7508662685038132,-1.8597872433054983
Nationally Determined Contributions (NDCs),TUR,-0.42315605367008874,0.3813529612580929,-0.12302102460401923,-0.2519513394439271,-0.35332575675013445
Net Zero 2050,CHN,-0.476873896506751,-0.6637548500674451,-1.0900808715850503,-0.8138812117863966,-0.7872216055453216
Net Zero 2050,USA,0.09326928378099635,0.01364733836609097,0.02849293129267498,0.03729540178786486,0.04003435769287607
Net Zero 2050,GBR,0.24427688465609784,0.23420815821520274,0.2730895031121329,0.2961436103452391,0.3033170718382802
Net Zero 2050,CHE,0.15609462593607576,0.14682787517688772,0.17167332461891013,0.18640505926465142,0.19098895098244362
Net Zero 2050,IND,-0.8506570083383624,-1.191003064183058,-1.6768238271217897,-1.4359006772320524,-1.420217626399598
Net Zero 2050,TUR,-0.4238794936096636,0.012739936672408799,-0.8607864171059061,-0.9497434081881742,-0.7008808462579461
