scenario,region,2025,2030,2035,2040,2045
Below 2?C,CHN,0.0,-0.028046963232242466,-0.06114401138665382,-0.040978799969193944,-0.09634895546817186
Below 2?C,USA,0.0,-0.17537115072855028,-0.18702206161787696,-0.19897776362096317,-0.200293827546549
Below 2?C,GBR,0.0,-0.10098086115958044,-0.10768959865722523,-0.11457383861929113,-0.1153316443814967
Below 2?C,CHE,0.0,-0.06964197321350377,-0.07426868872912086,-0.07901644042709746,-0.07953906509068753
Below 2?C,IND,0.0,-0.17884627612051404,-0.21659149061598112,-0.20752218462584804,-0.2635167433079441
Below 2?C,TUR,0.0,-0.19190372506366088,-0.21482289066061278,-0.24748122795493324,-0.2278999626137786
Current Policies,CHN,0.0,0.014130325941594546,0.012322335615353003,0.010455618797416504,0.008766692991646641
Current Policies,USA,0.0,-0.00043136338749677044,-0.0035696401241558377,-0.006705010665226481,-0.009824304301997006
Current Policies,GBR,0.0,-0.0002483843332336999,-0.0020554425985662675,-0.003860827440807306,-0.005656955004218494
Current Policies,CHE,0.0,-0.0001712995401611723,-0.0014175466197008744,-0.0026626396143498666,-0.003901348278771375
Current Policies,IND,0.0,0.00019665576861541457,-0.0033294978553761014,-0.00687804167792931,-0.010410742312748302
Current Policies,TUR,0.0,-0.00044164190533272165,-0.004037696802841833,-0.007630959897117554,-0.011204426730289138
Delayed transition,CHN,0.0,0.014130325941594546,-0.08991778248739332,-0.08257859053693888,-0.013270984854620634
Delayed transition,USA,0.0,-0.00043136338749677044,-0.18057725598479252,-0.1954559045845526,-0.1954559045845526
Delayed transition,GBR,0.0,-0.0002483843332336999,-0.10397860046777768,-0.11254590895753121,-0.11254590895753121
Delayed transition,CHE,0.0,-0.0001712995401611723,-0.07170937963295017,-0.0776178682465733,-0.0776178682465733
Delayed transition,IND,0.0,0.00019665576861541457,-0.2411897956653047,-0.2503797301213053,-0.18107212443898707
Delayed transition,TUR,0.0,-0.00044164190533272165,-0.19409208483582474,-0.23891192089798555,-0.19871457800055758
Fragmented World,CHN,0.0,0.014130325941594546,0.047643883430394295,0.04594404816589591,0.06598720503146321
Fragmented World,USA,0.0,-0.00043136338749677044,-0.029064631688255294,-0.03200903134126038,-0.0398147718875686
Fragmented World,GBR,0.0,-0.0002483843332336999,-0.01673577167608924,-0.018431193136935132,-0.022925834354033184
Fragmented World,CHE,0.0,-0.0001712995401611723,-0.011541911500751205,-0.012711167680644921,-0.015810920244160823
Fragmented World,IND,0.0,0.00019665576861541457,-0.01813909923667841,-0.021231890741744416,-0.019308529505417907
Fragmented World,TUR,0.0,-0.00044164190533272165,0.02578985463502342,0.04893692587029105,0.09668131405797854
Low demand,CHN,0.0,-0.1375849802145933,-0.0011873442555342117,-0.09665459685968582,-0.00916823643457472
Low demand,USA,0.0,-0.1653530598845718,-0.1653530598845718,-0.16535305988457163,-0.16535305988457163
Low demand,GBR,0.0,-0.09521232148588157,-0.09521232148588157,-0.0952123214858814,-0.0952123214858814
Low demand,CHE,0.0,-0.0656636699902631,-0.0656636699902631,-0.0656636699902631,-0.0656636699902631
Low demand,IND,0.0,-0.2786934478929646,-0.14229581193390545,-0.23776306453805723,-0.15027670411294597
Low demand,TUR,0.0,-0.09275285582308179,-0.17406942139836618,-0.2171395788127457,-0.15476779439564692
Nationally Determined Contributions (NDCs),CHN,0.0,-0.3343105162736731,-0.33642524785765343,-0.3358566748027641,-0.3293143689661049
Nationally Determined Contributions (NDCs),USA,0.0,-0.17645883709745247,-0.1846035583814135,-0.1911712213343538,-0.196101575232433
Nationally Determined Contributions (NDCs),GBR,0.0,-0.1016071643214573,-0.10629699480807028,-0.11007873575028677,-0.11291769404178001
Nationally Determined Contributions (NDCs),CHE,0.0,-0.07007390642859126,-0.07330827228142775,-0.07591636948295638,-0.07787427175295174
Nationally Determined Contributions (NDCs),IND,0.0,-0.39628775115777853,-0.4227542276068087,-0.4441187180839209,-0.4578726764025664
Nationally Determined Contributions (NDCs),TUR,0.0,0.5230507649353553,0.47050778365717877,0.4185550740870065,0.3664606880720721
Net Zero 2050,CHN,0.0,-0.07722647087191718,-0.33221797468093067,-0.1906998951202124,-0.11858479414775455
Net Zero 2050,USA,0.0,-0.09713267008023795,-0.09713267008023795,-0.0971326700802376,-0.0971326700802376
Net Zero 2050,GBR,0.0,-0.055930183674361006,-0.055930183674361006,-0.055930183674361006,-0.055930183674361006
Net Zero 2050,CHE,0.0,-0.038572540465076424,-0.038572540465076424,-0.03857254046507608,-0.03857254046507608
Net Zero 2050,IND,0.0,-0.1605161317833514,-0.41550763559236487,-0.2739895560316466,-0.20187445505918875
Net Zero 2050,TUR,0.0,0.33147618637687887,-0.0960942377285251,-0.26311904471384084,-0.13538539862504306
