region,"US applied tariffs, May 2026","EU-US framework, Jul 2026",EU steel safeguard 2026/1384,"CBAM (EU, applied prices)",ALL FOUR COMBINED,tariffs total,carbon (Current Policies),carbon (Net Zero 2050),carbon+tariff (CP),carbon+tariff (NZ)
EU27,0.003594,-0.006756,0.014824,0.021341,0.033003,0.033003,0.007872,2.272621,0.040875,2.305625
CHN,0.001575,0.000381,0.000419,0.000316,0.002691,0.002691,0.017815,1.571718,0.020506,1.574409
USA,0.713463,0.208159,0.000501,0.000415,0.922538,0.922538,0.001111,0.320633,0.923649,1.243171
GBR,0.005043,0.001343,0.002053,0.001672,0.010112,0.010112,0.003979,1.148643,0.014090,1.158754
CHE,0.003852,0.000744,0.003504,0.002657,0.010756,0.010756,0.005187,1.497464,0.015942,1.508219
RUS,0.001923,0.000423,0.001542,0.001077,0.004965,0.004965,0.000000,0.000000,0.004965,0.004965
IND,0.002290,0.000595,0.000489,0.000374,0.003749,0.003749,0.000000,0.000000,0.003749,0.003749
TUR,0.002935,0.000498,0.004015,0.002612,0.010060,0.010060,0.000000,0.000000,0.010060,0.010060
RASIA,0.005426,0.001410,0.000968,0.000706,0.008511,0.008511,0.007973,0.703403,0.016483,0.711913
LAM,0.013789,0.003318,0.001028,0.000738,0.018873,0.018873,0.036592,1.001614,0.055464,1.020487
MEA,0.006906,0.001738,0.001855,0.001410,0.011909,0.011909,0.000000,0.000000,0.011909,0.011909
AFR,0.003382,0.000768,0.001499,0.001177,0.006826,0.006826,0.006102,1.000942,0.012928,1.007768
ROW,0.007270,0.001886,0.000941,0.000752,0.010849,0.010849,0.006908,0.691784,0.017757,0.702633
